AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
0-14|0.1|0.1|0.1|43|Mortality|60516709|Kidney and Renal Pelvis|2006
0-19|0.1|0.1|0.1|54|Mortality|82324418|Kidney and Renal Pelvis|2006
0-14|0.6|0.7|0.7|411|Mortality|60516709|Leukemia|2006
0-19|0.7|0.8|0.7|618|Mortality|82324418|Leukemia|2006
0-14|0.1|0.1|0.1|44|Mortality|60516709|Non-Hodgkin Lymphoma|2006
0-19|0.1|0.1|0.1|89|Mortality|82324418|Non-Hodgkin Lymphoma|2006
0-14|0.4|0.5|0.5|296|Mortality|60516709|Other|2006
0-19|0.5|0.6|0.5|413|Mortality|82324418|Other|2006
0-14|0.1|0.2|0.1|80|Mortality|60516709|Soft Tissue|2006
0-19|0.1|0.2|0.2|140|Mortality|82324418|Soft Tissue|2006
0-14|3.8|4.1|4.0|2424|Incidence|60681615|Acute Lymphocytic|2007
0-19|3.3|3.5|3.4|2797|Incidence|82749431|Acute Lymphocytic|2007
0-14|0.6|0.7|0.7|414|Incidence|60681615|Acute Myeloid|2007
0-19|0.6|0.8|0.7|583|Incidence|82749431|Acute Myeloid|2007
0-14|15.9|16.5|16.2|9897|Incidence|60681615|All Cancer Sites Combined|2007
0-19|17.4|17.9|17.7|14758|Incidence|82749431|All Cancer Sites Combined|2007
0-14|0.6|0.8|0.7|426|Incidence|60681615|Bones and Joints|2007
0-19|0.8|1.0|0.9|753|Incidence|82749431|Bones and Joints|2007
0-14|3.5|3.8|3.6|2193|Incidence|60681615|Brain and Other Nervous System|2007
0-19|3.1|3.4|3.3|2690|Incidence|82749431|Brain and Other Nervous System|2007
0-14|0.5|0.6|0.5|331|Incidence|60681615|Hodgkin Lymphoma|2007
0-19|1.1|1.3|1.2|1035|Incidence|82749431|Hodgkin Lymphoma|2007
0-14|0.8|1.0|0.9|543|Incidence|60681615|Kidney and Renal Pelvis|2007
0-19|0.7|0.8|0.7|586|Incidence|82749431|Kidney and Renal Pelvis|2007
0-14|4.8|5.2|5.0|3065|Incidence|60681615|Leukemia|2007
0-19|4.4|4.6|4.5|3716|Incidence|82749431|Leukemia|2007
0-14|0.9|1.1|1.0|598|Incidence|60681615|Non-Hodgkin Lymphoma|2007
0-19|1.1|1.2|1.2|977|Incidence|82749431|Non-Hodgkin Lymphoma|2007
0-14|3.2|3.5|3.4|2090|Incidence|60681615|Other|2007
0-19|4.7|4.9|4.8|4079|Incidence|82749431|Other|2007
0-14|1.0|1.1|1.1|651|Incidence|60681615|Soft Tissue|2007
0-19|1.0|1.2|1.1|922|Incidence|82749431|Soft Tissue|2007
0-14|0.3|0.4|0.4|212|Mortality|60681615|Acute Lymphocytic|2007
0-19|0.3|0.4|0.4|294|Mortality|82749431|Acute Lymphocytic|2007
0-14|0.2|0.3|0.2|129|Mortality|60681615|Acute Myeloid|2007
0-19|0.2|0.3|0.2|195|Mortality|82749431|Acute Myeloid|2007
0-14|2.2|2.4|2.3|1395|Mortality|60681615|All Cancer Sites Combined|2007
0-19|2.4|2.6|2.5|2068|Mortality|82749431|All Cancer Sites Combined|2007
0-14|0.1|0.1|0.1|61|Mortality|60681615|Bones and Joints|2007
0-19|0.2|0.2|0.2|172|Mortality|82749431|Bones and Joints|2007
0-14|0.6|0.8|0.7|426|Mortality|60681615|Brain and Other Nervous System|2007
0-19|0.6|0.7|0.6|521|Mortality|82749431|Brain and Other Nervous System|2007
0-14|~|~|~|~|Mortality|60681615|Hodgkin Lymphoma|2007
0-19|0.0|0.0|0.0|19|Mortality|82749431|Hodgkin Lymphoma|2007
0-14|0.0|0.1|0.1|36|Mortality|60681615|Kidney and Renal Pelvis|2007
0-19|0.0|0.1|0.1|47|Mortality|82749431|Kidney and Renal Pelvis|2007
0-14|0.7|0.8|0.7|441|Mortality|60681615|Leukemia|2007
0-19|0.7|0.8|0.8|643|Mortality|82749431|Leukemia|2007
0-14|0.0|0.1|0.1|40|Mortality|60681615|Non-Hodgkin Lymphoma|2007
0-19|0.1|0.1|0.1|87|Mortality|82749431|Non-Hodgkin Lymphoma|2007
0-14|0.4|0.6|0.5|306|Mortality|60681615|Other|2007
0-19|0.5|0.6|0.5|439|Mortality|82749431|Other|2007
0-14|0.1|0.2|0.1|82|Mortality|60681615|Soft Tissue|2007
0-19|0.1|0.2|0.2|140|Mortality|82749431|Soft Tissue|2007
0-14|3.9|4.2|4.1|2505|Incidence|60907384|Acute Lymphocytic|2008
0-19|3.4|3.6|3.5|2877|Incidence|83118264|Acute Lymphocytic|2008
0-14|0.6|0.8|0.7|435|Incidence|60907384|Acute Myeloid|2008
0-19|0.7|0.8|0.7|625|Incidence|83118264|Acute Myeloid|2008
0-14|16.1|16.8|16.4|10091|Incidence|60907384|All Cancer Sites Combined|2008
0-19|17.6|18.1|17.9|14987|Incidence|83118264|All Cancer Sites Combined|2008
0-14|0.6|0.8|0.7|423|Incidence|60907384|Bones and Joints|2008
0-19|0.8|1.0|0.9|748|Incidence|83118264|Bones and Joints|2008
0-14|3.5|3.8|3.6|2209|Incidence|60907384|Brain and Other Nervous System|2008
0-19|3.2|3.4|3.3|2728|Incidence|83118264|Brain and Other Nervous System|2008
0-14|0.6|0.7|0.6|381|Incidence|60907384|Hodgkin Lymphoma|2008
0-19|1.2|1.4|1.3|1103|Incidence|83118264|Hodgkin Lymphoma|2008
0-14|0.8|1.0|0.9|572|Incidence|60907384|Kidney and Renal Pelvis|2008
0-19|0.7|0.8|0.7|621|Incidence|83118264|Kidney and Renal Pelvis|2008
0-14|5.0|5.3|5.2|3162|Incidence|60907384|Leukemia|2008
0-19|4.5|4.8|4.6|3826|Incidence|83118264|Leukemia|2008
0-14|0.9|1.0|1.0|580|Incidence|60907384|Non-Hodgkin Lymphoma|2008
0-19|1.1|1.2|1.2|966|Incidence|83118264|Non-Hodgkin Lymphoma|2008
0-14|3.2|3.5|3.4|2094|Incidence|60907384|Other|2008
0-19|4.6|4.9|4.8|4078|Incidence|83118264|Other|2008
0-14|1.0|1.2|1.1|670|Incidence|60907384|Soft Tissue|2008
0-19|1.0|1.2|1.1|917|Incidence|83118264|Soft Tissue|2008
0-14|0.2|0.3|0.3|176|Mortality|60907384|Acute Lymphocytic|2008
0-19|0.3|0.3|0.3|253|Mortality|83118264|Acute Lymphocytic|2008
0-14|0.2|0.2|0.2|127|Mortality|60907384|Acute Myeloid|2008
0-19|0.2|0.3|0.2|183|Mortality|83118264|Acute Myeloid|2008
0-14|2.1|2.3|2.2|1354|Mortality|60907384|All Cancer Sites Combined|2008
0-19|2.3|2.5|2.4|2039|Mortality|83118264|All Cancer Sites Combined|2008
0-14|0.1|0.1|0.1|62|Mortality|60907384|Bones and Joints|2008
0-19|0.2|0.2|0.2|182|Mortality|83118264|Bones and Joints|2008
0-14|0.6|0.8|0.7|429|Mortality|60907384|Brain and Other Nervous System|2008
0-19|0.6|0.7|0.6|533|Mortality|83118264|Brain and Other Nervous System|2008
0-14|~|~|~|~|Mortality|60907384|Hodgkin Lymphoma|2008
0-19|~|~|~|~|Mortality|83118264|Hodgkin Lymphoma|2008
0-14|0.1|0.1|0.1|46|Mortality|60907384|Kidney and Renal Pelvis|2008
0-19|0.0|0.1|0.1|52|Mortality|83118264|Kidney and Renal Pelvis|2008
0-14|0.6|0.7|0.7|402|Mortality|60907384|Leukemia|2008
0-19|0.7|0.8|0.7|598|Mortality|83118264|Leukemia|2008
0-14|0.0|0.1|0.1|39|Mortality|60907384|Non-Hodgkin Lymphoma|2008
0-19|0.1|0.1|0.1|93|Mortality|83118264|Non-Hodgkin Lymphoma|2008
0-14|0.4|0.5|0.5|286|Mortality|60907384|Other|2008
0-19|0.4|0.5|0.5|407|Mortality|83118264|Other|2008
0-14|0.1|0.2|0.1|89|Mortality|60907384|Soft Tissue|2008
0-19|0.2|0.2|0.2|160|Mortality|83118264|Soft Tissue|2008
0-14|3.9|4.2|4.1|2504|Incidence|61087581|Acute Lymphocytic|2009
0-19|3.3|3.6|3.4|2856|Incidence|83280391|Acute Lymphocytic|2009
0-14|0.6|0.7|0.6|398|Incidence|61087581|Acute Myeloid|2009
0-19|0.6|0.7|0.7|577|Incidence|83280391|Acute Myeloid|2009
0-14|16.0|16.6|16.3|9995|Incidence|61087581|All Cancer Sites Combined|2009
0-19|17.5|18.0|17.7|14908|Incidence|83280391|All Cancer Sites Combined|2009
0-14|0.7|0.8|0.7|434|Incidence|61087581|Bones and Joints|2009
0-19|0.9|1.0|0.9|770|Incidence|83280391|Bones and Joints|2009
0-14|3.4|3.7|3.6|2195|Incidence|61087581|Brain and Other Nervous System|2009
0-19|3.1|3.4|3.2|2693|Incidence|83280391|Brain and Other Nervous System|2009
0-14|0.5|0.6|0.6|347|Incidence|61087581|Hodgkin Lymphoma|2009
0-19|1.2|1.3|1.3|1081|Incidence|83280391|Hodgkin Lymphoma|2009
0-14|0.9|1.0|1.0|593|Incidence|61087581|Kidney and Renal Pelvis|2009
0-19|0.7|0.8|0.8|636|Incidence|83280391|Kidney and Renal Pelvis|2009
0-14|4.9|5.2|5.1|3114|Incidence|61087581|Leukemia|2009
0-19|4.4|4.6|4.5|3741|Incidence|83280391|Leukemia|2009
0-14|0.9|1.0|0.9|576|Incidence|61087581|Non-Hodgkin Lymphoma|2009
0-19|1.1|1.2|1.1|948|Incidence|83280391|Non-Hodgkin Lymphoma|2009
0-14|3.3|3.5|3.4|2093|Incidence|61087581|Other|2009
0-19|4.7|5.0|4.8|4120|Incidence|83280391|Other|2009
0-14|1.0|1.1|1.0|643|Incidence|61087581|Soft Tissue|2009
0-19|1.0|1.2|1.1|919|Incidence|83280391|Soft Tissue|2009
0-14|0.2|0.3|0.3|174|Mortality|61087581|Acute Lymphocytic|2009
0-19|0.3|0.3|0.3|240|Mortality|83280391|Acute Lymphocytic|2009
0-14|0.2|0.2|0.2|119|Mortality|61087581|Acute Myeloid|2009
0-19|0.2|0.3|0.2|182|Mortality|83280391|Acute Myeloid|2009
0-14|2.0|2.3|2.2|1320|Mortality|61087581|All Cancer Sites Combined|2009
0-19|2.2|2.5|2.3|1964|Mortality|83280391|All Cancer Sites Combined|2009
0-14|0.1|0.2|0.1|77|Mortality|61087581|Bones and Joints|2009
0-19|0.2|0.2|0.2|179|Mortality|83280391|Bones and Joints|2009
0-14|0.6|0.7|0.7|402|Mortality|61087581|Brain and Other Nervous System|2009
0-19|0.6|0.7|0.6|522|Mortality|83280391|Brain and Other Nervous System|2009
0-14|~|~|~|~|Mortality|61087581|Hodgkin Lymphoma|2009
0-19|0.0|0.0|0.0|22|Mortality|83280391|Hodgkin Lymphoma|2009
0-14|0.0|0.1|0.1|38|Mortality|61087581|Kidney and Renal Pelvis|2009
0-19|0.0|0.1|0.1|45|Mortality|83280391|Kidney and Renal Pelvis|2009
0-14|0.6|0.7|0.6|389|Mortality|61087581|Leukemia|2009
0-19|0.6|0.7|0.7|561|Mortality|83280391|Leukemia|2009
0-14|0.0|0.1|0.1|38|Mortality|61087581|Non-Hodgkin Lymphoma|2009
0-19|0.1|0.1|0.1|75|Mortality|83280391|Non-Hodgkin Lymphoma|2009
0-14|0.4|0.5|0.4|271|Mortality|61087581|Other|2009
0-19|0.4|0.5|0.5|396|Mortality|83280391|Other|2009
0-14|0.1|0.2|0.2|98|Mortality|61087581|Soft Tissue|2009
0-19|0.2|0.2|0.2|164|Mortality|83280391|Soft Tissue|2009
0-14|3.9|4.2|4.1|2505|Incidence|61202414|Acute Lymphocytic|2010
0-19|3.3|3.5|3.4|2836|Incidence|83185451|Acute Lymphocytic|2010
0-14|0.6|0.8|0.7|431|Incidence|61202414|Acute Myeloid|2010
0-19|0.7|0.8|0.8|631|Incidence|83185451|Acute Myeloid|2010
0-14|16.7|17.3|17.0|10452|Incidence|61202414|All Cancer Sites Combined|2010
0-19|17.9|18.4|18.1|15189|Incidence|83185451|All Cancer Sites Combined|2010
0-14|0.6|0.8|0.7|422|Incidence|61202414|Bones and Joints|2010
0-19|0.8|0.9|0.9|712|Incidence|83185451|Bones and Joints|2010
0-14|3.5|3.9|3.7|2268|Incidence|61202414|Brain and Other Nervous System|2010
0-19|3.2|3.4|3.3|2742|Incidence|83185451|Brain and Other Nervous System|2010
0-14|0.5|0.6|0.5|323|Incidence|61202414|Hodgkin Lymphoma|2010
0-19|1.1|1.3|1.2|1030|Incidence|83185451|Hodgkin Lymphoma|2010
0-14|0.8|1.0|0.9|544|Incidence|61202414|Kidney and Renal Pelvis|2010
0-19|0.6|0.8|0.7|577|Incidence|83185451|Kidney and Renal Pelvis|2010
0-14|4.9|5.3|5.1|3157|Incidence|61202414|Leukemia|2010
0-19|4.4|4.7|4.6|3795|Incidence|83185451|Leukemia|2010
0-14|0.9|1.1|1.0|598|Incidence|61202414|Non-Hodgkin Lymphoma|2010
0-19|1.1|1.2|1.1|955|Incidence|83185451|Non-Hodgkin Lymphoma|2010
0-14|3.9|4.2|4.0|2483|Incidence|61202414|Other|2010
0-19|5.1|5.5|5.3|4472|Incidence|83185451|Other|2010
0-14|1.0|1.2|1.1|657|Incidence|61202414|Soft Tissue|2010
0-19|1.0|1.2|1.1|906|Incidence|83185451|Soft Tissue|2010
0-14|0.2|0.3|0.3|164|Mortality|61202414|Acute Lymphocytic|2010
0-19|0.2|0.3|0.3|230|Mortality|83185451|Acute Lymphocytic|2010
0-14|0.2|0.3|0.2|131|Mortality|61202414|Acute Myeloid|2010
0-19|0.2|0.3|0.2|198|Mortality|83185451|Acute Myeloid|2010
0-14|2.0|2.3|2.2|1324|Mortality|61202414|All Cancer Sites Combined|2010
0-19|2.2|2.4|2.3|1925|Mortality|83185451|All Cancer Sites Combined|2010
0-14|0.1|0.2|0.1|75|Mortality|61202414|Bones and Joints|2010
0-19|0.2|0.2|0.2|166|Mortality|83185451|Bones and Joints|2010
0-14|0.6|0.7|0.7|410|Mortality|61202414|Brain and Other Nervous System|2010
0-19|0.6|0.7|0.6|498|Mortality|83185451|Brain and Other Nervous System|2010
0-14|~|~|~|~|Mortality|61202414|Hodgkin Lymphoma|2010
0-19|~|~|~|~|Mortality|83185451|Hodgkin Lymphoma|2010
0-14|0.1|0.1|0.1|46|Mortality|61202414|Kidney and Renal Pelvis|2010
0-19|0.1|0.1|0.1|56|Mortality|83185451|Kidney and Renal Pelvis|2010
0-14|0.6|0.7|0.6|390|Mortality|61202414|Leukemia|2010
0-19|0.6|0.7|0.7|553|Mortality|83185451|Leukemia|2010
0-14|0.0|0.1|0.1|35|Mortality|61202414|Non-Hodgkin Lymphoma|2010
0-19|0.1|0.1|0.1|75|Mortality|83185451|Non-Hodgkin Lymphoma|2010
0-14|0.4|0.5|0.5|286|Mortality|61202414|Other|2010
0-19|0.5|0.6|0.5|419|Mortality|83185451|Other|2010
0-14|0.1|0.2|0.1|79|Mortality|61202414|Soft Tissue|2010
0-19|0.1|0.2|0.2|146|Mortality|83185451|Soft Tissue|2010
0-14|3.8|4.0|3.9|11933|Incidence|302918297|Acute Lymphocytic|2010-2014
0-19|3.3|3.4|3.3|13620|Incidence|409325715|Acute Lymphocytic|2010-2014
0-14|0.7|0.7|0.7|2106|Incidence|302918297|Acute Myeloid|2010-2014
0-19|0.7|0.8|0.8|3100|Incidence|409325715|Acute Myeloid|2010-2014
0-14|16.8|17.1|16.9|51480|Incidence|302918297|All Cancer Sites Combined|2010-2014
0-19|18.2|18.4|18.3|75229|Incidence|409325715|All Cancer Sites Combined|2010-2014
0-14|0.7|0.8|0.8|2287|Incidence|302918297|Bones and Joints|2010-2014
0-19|0.9|0.9|0.9|3771|Incidence|409325715|Bones and Joints|2010-2014
0-14|3.6|3.7|3.6|10987|Incidence|302918297|Brain and Other Nervous System|2010-2014
0-19|3.2|3.4|3.3|13466|Incidence|409325715|Brain and Other Nervous System|2010-2014
0-14|0.5|0.6|0.5|1632|Incidence|302918297|Hodgkin Lymphoma|2010-2014
0-19|1.2|1.2|1.2|4959|Incidence|409325715|Hodgkin Lymphoma|2010-2014
0-14|0.9|0.9|0.9|2755|Incidence|302918297|Kidney and Renal Pelvis|2010-2014
0-19|0.7|0.8|0.7|2986|Incidence|409325715|Kidney and Renal Pelvis|2010-2014
0-14|4.9|5.0|5.0|15112|Incidence|302918297|Leukemia|2010-2014
0-19|4.4|4.5|4.5|18324|Incidence|409325715|Leukemia|2010-2014
0-14|1.0|1.0|1.0|3033|Incidence|302918297|Non-Hodgkin Lymphoma|2010-2014
0-19|1.2|1.2|1.2|4949|Incidence|409325715|Non-Hodgkin Lymphoma|2010-2014
0-14|4.0|4.2|4.1|12489|Incidence|302918297|Other|2010-2014
0-19|5.4|5.5|5.4|22477|Incidence|409325715|Other|2010-2014
0-14|1.0|1.1|1.0|3185|Incidence|302918297|Soft Tissue|2010-2014
0-19|1.0|1.1|1.0|4297|Incidence|409325715|Soft Tissue|2010-2014
0-14|0.2|0.3|0.2|751|Mortality|305666945|Acute Lymphocytic|2010-2014
0-19|0.2|0.3|0.3|1076|Mortality|412959108|Acute Lymphocytic|2010-2014
0-14|0.2|0.2|0.2|606|Mortality|305666945|Acute Myeloid|2010-2014
0-19|0.2|0.2|0.2|899|Mortality|412959108|Acute Myeloid|2010-2014
0-14|2.1|2.2|2.1|6486|Mortality|305666945|All Cancer Sites Combined|2010-2014
0-19|2.3|2.4|2.3|9593|Mortality|412959108|All Cancer Sites Combined|2010-2014
0-14|0.1|0.1|0.1|373|Mortality|305666945|Bones and Joints|2010-2014
0-19|0.2|0.2|0.2|879|Mortality|412959108|Bones and Joints|2010-2014
0-14|0.7|0.7|0.7|2164|Mortality|305666945|Brain and Other Nervous System|2010-2014
0-19|0.6|0.7|0.7|2738|Mortality|412959108|Brain and Other Nervous System|2010-2014
0-14|~|~|~|~|Mortality|305666945|Hodgkin Lymphoma|2010-2014
0-19|0.0|0.0|0.0|58|Mortality|412959108|Hodgkin Lymphoma|2010-2014
0-14|0.1|0.1|0.1|179|Mortality|305666945|Kidney and Renal Pelvis|2010-2014
0-19|0.0|0.1|0.1|221|Mortality|412959108|Kidney and Renal Pelvis|2010-2014
0-14|0.5|0.6|0.6|1756|Mortality|305666945|Leukemia|2010-2014
0-19|0.6|0.6|0.6|2571|Mortality|412959108|Leukemia|2010-2014
0-14|0.0|0.1|0.1|171|Mortality|305666945|Non-Hodgkin Lymphoma|2010-2014
0-19|0.1|0.1|0.1|328|Mortality|412959108|Non-Hodgkin Lymphoma|2010-2014
0-14|0.4|0.5|0.5|1390|Mortality|305666945|Other|2010-2014
0-19|0.5|0.5|0.5|2001|Mortality|412959108|Other|2010-2014
0-14|0.1|0.2|0.1|441|Mortality|305666945|Soft Tissue|2010-2014
0-19|0.2|0.2|0.2|797|Mortality|412959108|Soft Tissue|2010-2014
0-14|4.0|4.3|4.1|2522|Incidence|60627093|Acute Lymphocytic|2011
0-19|3.4|3.7|3.5|2893|Incidence|82115130|Acute Lymphocytic|2011
0-14|0.6|0.8|0.7|423|Incidence|60627093|Acute Myeloid|2011
0-19|0.7|0.8|0.8|626|Incidence|82115130|Acute Myeloid|2011
0-14|16.6|17.3|16.9|10310|Incidence|60627093|All Cancer Sites Combined|2011
0-19|18.0|18.6|18.3|15107|Incidence|82115130|All Cancer Sites Combined|2011
0-14|0.7|0.8|0.8|463|Incidence|60627093|Bones and Joints|2011
0-19|0.9|1.0|0.9|758|Incidence|82115130|Bones and Joints|2011
0-14|3.5|3.8|3.6|2203|Incidence|60627093|Brain and Other Nervous System|2011
0-19|3.2|3.5|3.4|2750|Incidence|82115130|Brain and Other Nervous System|2011
0-14|0.5|0.6|0.5|313|Incidence|60627093|Hodgkin Lymphoma|2011
0-19|1.1|1.3|1.2|991|Incidence|82115130|Hodgkin Lymphoma|2011
0-14|0.9|1.0|0.9|571|Incidence|60627093|Kidney and Renal Pelvis|2011
0-19|0.7|0.8|0.7|614|Incidence|82115130|Kidney and Renal Pelvis|2011
0-14|5.0|5.4|5.2|3155|Incidence|60627093|Leukemia|2011
0-19|4.5|4.8|4.7|3821|Incidence|82115130|Leukemia|2011
0-14|0.8|1.0|0.9|553|Incidence|60627093|Non-Hodgkin Lymphoma|2011
0-19|1.0|1.2|1.1|920|Incidence|82115130|Non-Hodgkin Lymphoma|2011
0-14|3.8|4.2|4.0|2441|Incidence|60627093|Other|2011
0-19|5.2|5.5|5.3|4422|Incidence|82115130|Other|2011
0-14|0.9|1.1|1.0|611|Incidence|60627093|Soft Tissue|2011
0-19|0.9|1.1|1.0|831|Incidence|82115130|Soft Tissue|2011
0-14|0.2|0.3|0.3|153|Mortality|61175729|Acute Lymphocytic|2011
0-19|0.2|0.3|0.3|223|Mortality|82840327|Acute Lymphocytic|2011
0-14|0.2|0.2|0.2|117|Mortality|61175729|Acute Myeloid|2011
0-19|0.2|0.2|0.2|174|Mortality|82840327|Acute Myeloid|2011
0-14|2.0|2.2|2.1|1283|Mortality|61175729|All Cancer Sites Combined|2011
0-19|2.2|2.4|2.3|1922|Mortality|82840327|All Cancer Sites Combined|2011
0-14|0.1|0.2|0.1|73|Mortality|61175729|Bones and Joints|2011
0-19|0.2|0.2|0.2|174|Mortality|82840327|Bones and Joints|2011
0-14|0.7|0.8|0.7|439|Mortality|61175729|Brain and Other Nervous System|2011
0-19|0.6|0.7|0.7|550|Mortality|82840327|Brain and Other Nervous System|2011
0-14|~|~|~|~|Mortality|61175729|Hodgkin Lymphoma|2011
0-19|0.0|0.0|0.0|17|Mortality|82840327|Hodgkin Lymphoma|2011
0-14|0.0|0.1|0.1|39|Mortality|61175729|Kidney and Renal Pelvis|2011
0-19|0.0|0.1|0.1|45|Mortality|82840327|Kidney and Renal Pelvis|2011
0-14|0.5|0.6|0.6|342|Mortality|61175729|Leukemia|2011
0-19|0.6|0.7|0.6|519|Mortality|82840327|Leukemia|2011
0-14|0.0|0.1|0.1|32|Mortality|61175729|Non-Hodgkin Lymphoma|2011
0-19|0.1|0.1|0.1|64|Mortality|82840327|Non-Hodgkin Lymphoma|2011
0-14|0.4|0.5|0.4|273|Mortality|61175729|Other|2011
0-19|0.4|0.5|0.5|405|Mortality|82840327|Other|2011
0-14|0.1|0.2|0.1|84|Mortality|61175729|Soft Tissue|2011
0-19|0.1|0.2|0.2|148|Mortality|82840327|Soft Tissue|2011
0-14|3.8|4.1|3.9|2424|Incidence|61123600|Acute Lymphocytic|2012
0-19|3.2|3.5|3.3|2749|Incidence|82500154|Acute Lymphocytic|2012
0-14|0.6|0.7|0.6|397|Incidence|61123600|Acute Myeloid|2012
0-19|0.7|0.8|0.7|597|Incidence|82500154|Acute Myeloid|2012
0-14|16.4|17.1|16.8|10273|Incidence|61123600|All Cancer Sites Combined|2012
0-19|18.0|18.6|18.3|15191|Incidence|82500154|All Cancer Sites Combined|2012
0-14|0.7|0.8|0.7|451|Incidence|61123600|Bones and Joints|2012
0-19|0.9|1.0|0.9|761|Incidence|82500154|Bones and Joints|2012
0-14|3.4|3.7|3.6|2184|Incidence|61123600|Brain and Other Nervous System|2012
0-19|3.1|3.4|3.2|2677|Incidence|82500154|Brain and Other Nervous System|2012
0-14|0.5|0.6|0.6|347|Incidence|61123600|Hodgkin Lymphoma|2012
0-19|1.2|1.3|1.2|1040|Incidence|82500154|Hodgkin Lymphoma|2012
0-14|0.8|1.0|0.9|541|Incidence|61123600|Kidney and Renal Pelvis|2012
0-19|0.7|0.8|0.7|596|Incidence|82500154|Kidney and Renal Pelvis|2012
0-14|4.7|5.1|4.9|3017|Incidence|61123600|Leukemia|2012
0-19|4.3|4.6|4.4|3653|Incidence|82500154|Leukemia|2012
0-14|0.9|1.1|1.0|617|Incidence|61123600|Non-Hodgkin Lymphoma|2012
0-19|1.2|1.3|1.2|1035|Incidence|82500154|Non-Hodgkin Lymphoma|2012
0-14|3.9|4.2|4.0|2482|Incidence|61123600|Other|2012
0-19|5.3|5.7|5.5|4586|Incidence|82500154|Other|2012
0-14|1.0|1.1|1.0|634|Incidence|61123600|Soft Tissue|2012
0-19|1.0|1.1|1.0|843|Incidence|82500154|Soft Tissue|2012
0-14|0.2|0.3|0.2|152|Mortality|61123600|Acute Lymphocytic|2012
0-19|0.2|0.3|0.3|219|Mortality|82500154|Acute Lymphocytic|2012
0-14|0.2|0.3|0.2|137|Mortality|61123600|Acute Myeloid|2012
0-19|0.2|0.3|0.2|193|Mortality|82500154|Acute Myeloid|2012
0-14|2.1|2.4|2.2|1367|Mortality|61123600|All Cancer Sites Combined|2012
0-19|2.3|2.5|2.4|1995|Mortality|82500154|All Cancer Sites Combined|2012
0-14|0.1|0.1|0.1|68|Mortality|61123600|Bones and Joints|2012
0-19|0.2|0.2|0.2|178|Mortality|82500154|Bones and Joints|2012
0-14|0.7|0.8|0.8|458|Mortality|61123600|Brain and Other Nervous System|2012
0-19|0.6|0.8|0.7|575|Mortality|82500154|Brain and Other Nervous System|2012
0-14|~|~|~|~|Mortality|61123600|Hodgkin Lymphoma|2012
0-19|~|~|~|~|Mortality|82500154|Hodgkin Lymphoma|2012
0-14|0.0|0.1|0.0|30|Mortality|61123600|Kidney and Renal Pelvis|2012
0-19|0.0|0.1|0.0|40|Mortality|82500154|Kidney and Renal Pelvis|2012
0-14|0.6|0.7|0.6|378|Mortality|61123600|Leukemia|2012
0-19|0.6|0.7|0.6|534|Mortality|82500154|Leukemia|2012
0-14|0.0|0.1|0.1|36|Mortality|61123600|Non-Hodgkin Lymphoma|2012
0-19|0.1|0.1|0.1|60|Mortality|82500154|Non-Hodgkin Lymphoma|2012
0-14|0.4|0.5|0.5|292|Mortality|61123600|Other|2012
0-19|0.5|0.6|0.5|421|Mortality|82500154|Other|2012
0-14|0.1|0.2|0.2|101|Mortality|61123600|Soft Tissue|2012
0-19|0.2|0.2|0.2|177|Mortality|82500154|Soft Tissue|2012
0-14|3.6|3.9|3.7|2283|Incidence|61085889|Acute Lymphocytic|2013
0-19|3.1|3.3|3.2|2613|Incidence|82277037|Acute Lymphocytic|2013
0-14|0.6|0.8|0.7|434|Incidence|61085889|Acute Myeloid|2013
0-19|0.7|0.8|0.8|624|Incidence|82277037|Acute Myeloid|2013
0-14|16.6|17.3|17.0|10381|Incidence|61085889|All Cancer Sites Combined|2013
0-19|17.9|18.5|18.2|15014|Incidence|82277037|All Cancer Sites Combined|2013
0-14|0.7|0.8|0.8|466|Incidence|61085889|Bones and Joints|2013
0-19|0.9|1.0|0.9|776|Incidence|82277037|Bones and Joints|2013
0-14|3.5|3.8|3.7|2234|Incidence|61085889|Brain and Other Nervous System|2013
0-19|3.2|3.4|3.3|2713|Incidence|82277037|Brain and Other Nervous System|2013
0-14|0.5|0.6|0.6|335|Incidence|61085889|Hodgkin Lymphoma|2013
0-19|1.1|1.2|1.1|951|Incidence|82277037|Hodgkin Lymphoma|2013
0-14|0.8|1.0|0.9|559|Incidence|61085889|Kidney and Renal Pelvis|2013
0-19|0.7|0.8|0.7|616|Incidence|82277037|Kidney and Renal Pelvis|2013
0-14|4.7|5.0|4.8|2958|Incidence|61085889|Leukemia|2013
0-19|4.2|4.5|4.4|3594|Incidence|82277037|Leukemia|2013
0-14|0.9|1.1|1.0|597|Incidence|61085889|Non-Hodgkin Lymphoma|2013
0-19|1.1|1.2|1.2|951|Incidence|82277037|Non-Hodgkin Lymphoma|2013
0-14|4.1|4.4|4.2|2576|Incidence|61085889|Other|2013
0-19|5.3|5.6|5.5|4542|Incidence|82277037|Other|2013
0-14|1.0|1.2|1.1|656|Incidence|61085889|Soft Tissue|2013
0-19|1.0|1.1|1.1|871|Incidence|82277037|Soft Tissue|2013
0-14|0.2|0.3|0.2|141|Mortality|61085889|Acute Lymphocytic|2013
