AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|COUNT|ICCC_GROUP|POPULATION|AGE|RACE|SEX|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
15.7|17.8|16.7|1013|II Lymphomas and reticuloendothelial neoplasms|60681615|0-14|All Races|Male and Female|2007|||
4.9|6.1|5.5|331|II(a) Hodgkin lymphomas|60681615|0-14|All Races|Male and Female|2007|||
6.4|7.7|7.0|426|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|60681615|0-14|All Races|Male and Female|2007|||
2.3|3.1|2.7|161|II(c) Burkitt lymphoma|60681615|0-14|All Races|Male and Female|2007|||
1.0|1.6|1.3|82|II(d) Miscellaneous lymphoreticular neoplasms|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|II(e) Unspecified lymphomas|60681615|0-14|All Races|Male and Female|2007|||
33.6|36.6|35.1|2134|III CNS and misc intracranial and intraspinal neoplasms|60681615|0-14|All Races|Male and Female|2007|||
2.5|3.4|2.9|177|III(a) Ependymomas and choroid plexus tumor|60681615|0-14|All Races|Male and Female|2007|||
15.7|17.7|16.7|1013|III(b) Astrocytomas|60681615|0-14|All Races|Male and Female|2007|||
7.1|8.5|7.8|472|III(c) Intracranial and intraspinal embryonal tumors|60681615|0-14|All Races|Male and Female|2007|||
5.9|7.2|6.5|395|III(d) Other gliomas|60681615|0-14|All Races|Male and Female|2007|||
0.5|1.0|0.7|45|III(e) Other specified intracranial & intraspinal neoplasms|60681615|0-14|All Races|Male and Female|2007|||
0.4|0.7|0.5|32|III(f) Unspecified intracranial and intraspinal neoplasms|60681615|0-14|All Races|Male and Female|2007|||
11.0|12.7|11.8|736|IV Neuroblastoma and other peripheral nervous cell tumors|60681615|0-14|All Races|Male and Female|2007|||
10.8|12.5|11.6|724|IV(a) Neuroblastoma and ganglioneuroblastoma|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|60681615|0-14|All Races|Male and Female|2007|||
10.2|11.9|11.0|673|IX Soft tissue and other extraosseous sarcomas|60681615|0-14|All Races|Male and Female|2007|||
5.1|6.3|5.7|347|IX(a) Rhabdomyosarcomas|60681615|0-14|All Races|Male and Female|2007|||
0.9|1.5|1.2|72|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|IX(c) Kaposi sarcoma|60681615|0-14|All Races|Male and Female|2007|||
2.9|3.8|3.3|202|IX(d) Other specified soft tissue sarcomas|60681615|0-14|All Races|Male and Female|2007|||
0.6|1.1|0.8|51|IX(e) Unspecified soft tissue sarcomas|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|Not classified by ICCC|60681615|0-14|All Races|Male and Female|2007|||
3.8|4.8|4.3|270|V Retinoblastoma|60681615|0-14|All Races|Male and Female|2007|||
7.9|9.4|8.6|529|VI Renal tumors|60681615|0-14|All Races|Male and Female|2007|||
7.5|8.9|8.2|502|VI(a) Nephroblastoma and other nonepithelial renal tumors|60681615|0-14|All Races|Male and Female|2007|||
0.3|0.6|0.4|26|VI(b) Renal carcinomas|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|60681615|0-14|All Races|Male and Female|2007|||
2.2|3.0|2.6|159|VII Hepatic tumors|60681615|0-14|All Races|Male and Female|2007|||
1.9|2.7|2.3|141|VII(a) Hepatoblastoma|60681615|0-14|All Races|Male and Female|2007|||
0.2|0.5|0.3|18|VII(b) Hepatic carcinomas|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|60681615|0-14|All Races|Male and Female|2007|||
6.2|7.5|6.8|414|VIII Malignant bone tumors|60681615|0-14|All Races|Male and Female|2007|||
3.2|4.2|3.7|222|VIII(a) Osteosarcomas|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|VIII(b) Chondrosarcomas|60681615|0-14|All Races|Male and Female|2007|||
2.1|2.9|2.5|152|VIII(c) Ewing tumor and related sarcomas of bone|60681615|0-14|All Races|Male and Female|2007|||
0.2|0.4|0.3|16|VIII(d) Other specified malignant bone tumors|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|60681615|0-14|All Races|Male and Female|2007|||
4.9|6.1|5.5|337|X Germ cell, trophoblastic tumors & neoplasms of gonads|60681615|0-14|All Races|Male and Female|2007|||
1.1|1.7|1.4|85|X(a) Intracranial & intraspinal germ cell tumors|60681615|0-14|All Races|Male and Female|2007|||
1.0|1.6|1.3|82|X(b) Malignant extracranial & extragonadal germ cell tumors|60681615|0-14|All Races|Male and Female|2007|||
2.2|3.0|2.6|157|X(c) Malignant gonadal germ cell tumors|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|X(d) Gonadal carcinomas|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|60681615|0-14|All Races|Male and Female|2007|||
6.0|7.3|6.6|403|XI Other malignant epithelial neoplasms and malignant melanomas|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|XI(a) Adrenocortical carcinomas|60681615|0-14|All Races|Male and Female|2007|||
1.9|2.6|2.2|136|XI(b) Thyroid carcinomas|60681615|0-14|All Races|Male and Female|2007|||
0.2|0.4|0.3|17|XI(c) Nasopharyngeal carcinomas|60681615|0-14|All Races|Male and Female|2007|||
1.8|2.6|2.2|132|XI(d) Malignant melanomas|60681615|0-14|All Races|Male and Female|2007|||
~|~|~|~|XI(e) Skin carcinomas|60681615|0-14|All Races|Male and Female|2007|||
1.4|2.0|1.7|102|XI(f) Other and unspecified carcinomas|60681615|0-14|All Races|Male and Female|2007|||
0.5|0.9|0.7|42|XII Other and unspecified malignant neoplasms|60681615|0-14|All Races|Male and Female|2007|||
0.2|0.6|0.4|23|XII(a) Other specified malignant tumors|60681615|0-14|All Races|Male and Female|2007|||
0.2|0.5|0.3|19|XII(b) Other unspecified malignant tumors|60681615|0-14|All Races|Male and Female|2007|||
161.3|167.7|164.5|10091|All ICCC Groups Combined|60907384|0-14|All Races|Male and Female|2008|||
52.1|55.8|53.9|3310|I Leukemias, myeloproliferative & myelodysplastic diseases|60907384|0-14|All Races|Male and Female|2008|||
39.5|42.7|41.1|2518|I(a) Lymphoid leukemias|60907384|0-14|All Races|Male and Female|2008|||
7.3|8.7|8.0|490|I(b) Acute myeloid leukemias|60907384|0-14|All Races|Male and Female|2008|||
1.8|2.5|2.1|131|I(c) Chronic myeloproliferative diseases|60907384|0-14|All Races|Male and Female|2008|||
1.4|2.0|1.7|104|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|60907384|0-14|All Races|Male and Female|2008|||
0.8|1.4|1.1|67|I(e) Unspecified and other specified leukemias|60907384|0-14|All Races|Male and Female|2008|||
16.1|18.2|17.1|1039|II Lymphomas and reticuloendothelial neoplasms|60907384|0-14|All Races|Male and Female|2008|||
5.7|7.0|6.3|381|II(a) Hodgkin lymphomas|60907384|0-14|All Races|Male and Female|2008|||
6.1|7.4|6.7|407|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|60907384|0-14|All Races|Male and Female|2008|||
2.3|3.1|2.7|163|II(c) Burkitt lymphoma|60907384|0-14|All Races|Male and Female|2008|||
0.9|1.5|1.2|74|II(d) Miscellaneous lymphoreticular neoplasms|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|II(e) Unspecified lymphomas|60907384|0-14|All Races|Male and Female|2008|||
33.8|36.8|35.3|2153|III CNS and misc intracranial and intraspinal neoplasms|60907384|0-14|All Races|Male and Female|2008|||
2.3|3.1|2.7|163|III(a) Ependymomas and choroid plexus tumor|60907384|0-14|All Races|Male and Female|2008|||
16.4|18.5|17.4|1060|III(b) Astrocytomas|60907384|0-14|All Races|Male and Female|2008|||
7.5|8.9|8.2|502|III(c) Intracranial and intraspinal embryonal tumors|60907384|0-14|All Races|Male and Female|2008|||
5.4|6.6|6.0|362|III(d) Other gliomas|60907384|0-14|All Races|Male and Female|2008|||
0.5|1.0|0.7|44|III(e) Other specified intracranial & intraspinal neoplasms|60907384|0-14|All Races|Male and Female|2008|||
0.2|0.5|0.4|22|III(f) Unspecified intracranial and intraspinal neoplasms|60907384|0-14|All Races|Male and Female|2008|||
10.2|11.8|11.0|687|IV Neuroblastoma and other peripheral nervous cell tumors|60907384|0-14|All Races|Male and Female|2008|||
9.9|11.5|10.7|670|IV(a) Neuroblastoma and ganglioneuroblastoma|60907384|0-14|All Races|Male and Female|2008|||
0.2|0.4|0.3|17|IV(b) Other peripheral nervous cell tumors|60907384|0-14|All Races|Male and Female|2008|||
10.2|11.9|11.0|675|IX Soft tissue and other extraosseous sarcomas|60907384|0-14|All Races|Male and Female|2008|||
4.8|5.9|5.3|326|IX(a) Rhabdomyosarcomas|60907384|0-14|All Races|Male and Female|2008|||
0.7|1.2|0.9|58|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|IX(c) Kaposi sarcoma|60907384|0-14|All Races|Male and Female|2008|||
3.0|3.9|3.4|209|IX(d) Other specified soft tissue sarcomas|60907384|0-14|All Races|Male and Female|2008|||
1.0|1.6|1.3|81|IX(e) Unspecified soft tissue sarcomas|60907384|0-14|All Races|Male and Female|2008|||
0.2|0.4|0.3|17|Not classified by ICCC|60907384|0-14|All Races|Male and Female|2008|||
3.7|4.8|4.2|267|V Retinoblastoma|60907384|0-14|All Races|Male and Female|2008|||
8.3|9.8|9.0|558|VI Renal tumors|60907384|0-14|All Races|Male and Female|2008|||
7.9|9.3|8.6|532|VI(a) Nephroblastoma and other nonepithelial renal tumors|60907384|0-14|All Races|Male and Female|2008|||
0.3|0.6|0.4|24|VI(b) Renal carcinomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|60907384|0-14|All Races|Male and Female|2008|||
2.2|3.1|2.6|164|VII Hepatic tumors|60907384|0-14|All Races|Male and Female|2008|||
1.9|2.6|2.2|140|VII(a) Hepatoblastoma|60907384|0-14|All Races|Male and Female|2008|||
0.3|0.6|0.4|24|VII(b) Hepatic carcinomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|60907384|0-14|All Races|Male and Female|2008|||
6.2|7.5|6.8|413|VIII Malignant bone tumors|60907384|0-14|All Races|Male and Female|2008|||
3.4|4.4|3.8|232|VIII(a) Osteosarcomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|VIII(b) Chondrosarcomas|60907384|0-14|All Races|Male and Female|2008|||
2.1|2.9|2.4|148|VIII(c) Ewing tumor and related sarcomas of bone|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|VIII(d) Other specified malignant bone tumors|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|60907384|0-14|All Races|Male and Female|2008|||
4.7|5.8|5.2|323|X Germ cell, trophoblastic tumors & neoplasms of gonads|60907384|0-14|All Races|Male and Female|2008|||
1.1|1.7|1.4|82|X(a) Intracranial & intraspinal germ cell tumors|60907384|0-14|All Races|Male and Female|2008|||
1.1|1.7|1.4|89|X(b) Malignant extracranial & extragonadal germ cell tumors|60907384|0-14|All Races|Male and Female|2008|||
1.9|2.7|2.3|141|X(c) Malignant gonadal germ cell tumors|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|X(d) Gonadal carcinomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|60907384|0-14|All Races|Male and Female|2008|||
6.7|8.0|7.3|446|XI Other malignant epithelial neoplasms and malignant melanomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|XI(a) Adrenocortical carcinomas|60907384|0-14|All Races|Male and Female|2008|||
2.2|3.0|2.6|157|XI(b) Thyroid carcinomas|60907384|0-14|All Races|Male and Female|2008|||
0.2|0.4|0.3|17|XI(c) Nasopharyngeal carcinomas|60907384|0-14|All Races|Male and Female|2008|||
1.9|2.7|2.3|140|XI(d) Malignant melanomas|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|XI(e) Skin carcinomas|60907384|0-14|All Races|Male and Female|2008|||
1.5|2.3|1.9|114|XI(f) Other and unspecified carcinomas|60907384|0-14|All Races|Male and Female|2008|||
0.4|0.9|0.6|39|XII Other and unspecified malignant neoplasms|60907384|0-14|All Races|Male and Female|2008|||
0.2|0.6|0.4|24|XII(a) Other specified malignant tumors|60907384|0-14|All Races|Male and Female|2008|||
~|~|~|~|XII(b) Other unspecified malignant tumors|60907384|0-14|All Races|Male and Female|2008|||
159.5|165.9|162.7|9995|All ICCC Groups Combined|61087581|0-14|All Races|Male and Female|2009|||
50.5|54.1|52.3|3223|I Leukemias, myeloproliferative & myelodysplastic diseases|61087581|0-14|All Races|Male and Female|2009|||
39.3|42.5|40.9|2519|I(a) Lymphoid leukemias|61087581|0-14|All Races|Male and Female|2009|||
6.6|7.9|7.2|446|I(b) Acute myeloid leukemias|61087581|0-14|All Races|Male and Female|2009|||
1.3|1.9|1.6|95|I(c) Chronic myeloproliferative diseases|61087581|0-14|All Races|Male and Female|2009|||
1.2|1.8|1.5|93|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|61087581|0-14|All Races|Male and Female|2009|||
0.9|1.4|1.1|70|I(e) Unspecified and other specified leukemias|61087581|0-14|All Races|Male and Female|2009|||
15.8|17.9|16.9|1026|II Lymphomas and reticuloendothelial neoplasms|61087581|0-14|All Races|Male and Female|2009|||
5.1|6.4|5.7|347|II(a) Hodgkin lymphomas|61087581|0-14|All Races|Male and Female|2009|||
6.3|7.7|7.0|425|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|61087581|0-14|All Races|Male and Female|2009|||
2.0|2.8|2.4|143|II(c) Burkitt lymphoma|61087581|0-14|All Races|Male and Female|2009|||
1.3|2.0|1.6|100|II(d) Miscellaneous lymphoreticular neoplasms|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|II(e) Unspecified lymphomas|61087581|0-14|All Races|Male and Female|2009|||
33.8|36.8|35.3|2159|III CNS and misc intracranial and intraspinal neoplasms|61087581|0-14|All Races|Male and Female|2009|||
2.2|3.0|2.5|157|III(a) Ependymomas and choroid plexus tumor|61087581|0-14|All Races|Male and Female|2009|||
16.4|18.5|17.4|1066|III(b) Astrocytomas|61087581|0-14|All Races|Male and Female|2009|||
6.9|8.3|7.6|467|III(c) Intracranial and intraspinal embryonal tumors|61087581|0-14|All Races|Male and Female|2009|||
6.0|7.3|6.6|404|III(d) Other gliomas|61087581|0-14|All Races|Male and Female|2009|||
0.4|0.8|0.6|34|III(e) Other specified intracranial & intraspinal neoplasms|61087581|0-14|All Races|Male and Female|2009|||
0.3|0.7|0.5|31|III(f) Unspecified intracranial and intraspinal neoplasms|61087581|0-14|All Races|Male and Female|2009|||
10.0|11.6|10.8|670|IV Neuroblastoma and other peripheral nervous cell tumors|61087581|0-14|All Races|Male and Female|2009|||
9.8|11.4|10.6|660|IV(a) Neuroblastoma and ganglioneuroblastoma|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|61087581|0-14|All Races|Male and Female|2009|||
9.9|11.6|10.7|656|IX Soft tissue and other extraosseous sarcomas|61087581|0-14|All Races|Male and Female|2009|||
4.0|5.0|4.5|274|IX(a) Rhabdomyosarcomas|61087581|0-14|All Races|Male and Female|2009|||
1.0|1.6|1.3|78|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|IX(c) Kaposi sarcoma|61087581|0-14|All Races|Male and Female|2009|||
3.3|4.3|3.8|231|IX(d) Other specified soft tissue sarcomas|61087581|0-14|All Races|Male and Female|2009|||
0.9|1.5|1.2|73|IX(e) Unspecified soft tissue sarcomas|61087581|0-14|All Races|Male and Female|2009|||
0.2|0.6|0.4|23|Not classified by ICCC|61087581|0-14|All Races|Male and Female|2009|||
4.0|5.1|4.5|282|V Retinoblastoma|61087581|0-14|All Races|Male and Female|2009|||
8.5|10.0|9.2|573|VI Renal tumors|61087581|0-14|All Races|Male and Female|2009|||
7.9|9.4|8.6|535|VI(a) Nephroblastoma and other nonepithelial renal tumors|61087581|0-14|All Races|Male and Female|2009|||
0.4|0.8|0.6|36|VI(b) Renal carcinomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|61087581|0-14|All Races|Male and Female|2009|||
1.9|2.6|2.2|138|VII Hepatic tumors|61087581|0-14|All Races|Male and Female|2009|||
1.5|2.2|1.9|117|VII(a) Hepatoblastoma|61087581|0-14|All Races|Male and Female|2009|||
0.2|0.5|0.3|19|VII(b) Hepatic carcinomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|61087581|0-14|All Races|Male and Female|2009|||
6.4|7.7|7.0|427|VIII Malignant bone tumors|61087581|0-14|All Races|Male and Female|2009|||
3.5|4.5|4.0|241|VIII(a) Osteosarcomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|VIII(b) Chondrosarcomas|61087581|0-14|All Races|Male and Female|2009|||
2.0|2.8|2.4|144|VIII(c) Ewing tumor and related sarcomas of bone|61087581|0-14|All Races|Male and Female|2009|||
0.3|0.6|0.4|24|VIII(d) Other specified malignant bone tumors|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|61087581|0-14|All Races|Male and Female|2009|||
4.9|6.1|5.4|333|X Germ cell, trophoblastic tumors & neoplasms of gonads|61087581|0-14|All Races|Male and Female|2009|||
1.1|1.7|1.4|85|X(a) Intracranial & intraspinal germ cell tumors|61087581|0-14|All Races|Male and Female|2009|||
0.9|1.5|1.2|73|X(b) Malignant extracranial & extragonadal germ cell tumors|61087581|0-14|All Races|Male and Female|2009|||
2.2|3.0|2.6|160|X(c) Malignant gonadal germ cell tumors|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|X(d) Gonadal carcinomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|X(e) Other and unspecified malignant gonadal tumors|61087581|0-14|All Races|Male and Female|2009|||
6.5|7.9|7.2|436|XI Other malignant epithelial neoplasms and malignant melanomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|XI(a) Adrenocortical carcinomas|61087581|0-14|All Races|Male and Female|2009|||
2.5|3.3|2.9|175|XI(b) Thyroid carcinomas|61087581|0-14|All Races|Male and Female|2009|||
0.3|0.6|0.4|25|XI(c) Nasopharyngeal carcinomas|61087581|0-14|All Races|Male and Female|2009|||
1.4|2.0|1.7|103|XI(d) Malignant melanomas|61087581|0-14|All Races|Male and Female|2009|||
~|~|~|~|XI(e) Skin carcinomas|61087581|0-14|All Races|Male and Female|2009|||
1.5|2.2|1.9|113|XI(f) Other and unspecified carcinomas|61087581|0-14|All Races|Male and Female|2009|||
0.6|1.0|0.8|49|XII Other and unspecified malignant neoplasms|61087581|0-14|All Races|Male and Female|2009|||
0.2|0.5|0.3|20|XII(a) Other specified malignant tumors|61087581|0-14|All Races|Male and Female|2009|||
0.3|0.7|0.5|29|XII(b) Other unspecified malignant tumors|61087581|0-14|All Races|Male and Female|2009|||
166.7|173.3|170.0|10452|All ICCC Groups Combined|61202414|0-14|All Races|Male and Female|2010|||
52.4|56.1|54.2|3341|I Leukemias, myeloproliferative & myelodysplastic diseases|61202414|0-14|All Races|Male and Female|2010|||
39.3|42.5|40.9|2521|I(a) Lymphoid leukemias|61202414|0-14|All Races|Male and Female|2010|||
7.1|8.5|7.7|476|I(b) Acute myeloid leukemias|61202414|0-14|All Races|Male and Female|2010|||
1.6|2.3|1.9|117|I(c) Chronic myeloproliferative diseases|61202414|0-14|All Races|Male and Female|2010|||
1.6|2.3|1.9|119|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|61202414|0-14|All Races|Male and Female|2010|||
1.4|2.1|1.7|108|I(e) Unspecified and other specified leukemias|61202414|0-14|All Races|Male and Female|2010|||
18.9|21.1|20.0|1220|II Lymphomas and reticuloendothelial neoplasms|61202414|0-14|All Races|Male and Female|2010|||
4.8|5.9|5.3|323|II(a) Hodgkin lymphomas|61202414|0-14|All Races|Male and Female|2010|||
6.5|7.9|7.2|439|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|61202414|0-14|All Races|Male and Female|2010|||
2.1|2.9|2.5|151|II(c) Burkitt lymphoma|61202414|0-14|All Races|Male and Female|2010|||
4.3|5.4|4.8|297|II(d) Miscellaneous lymphoreticular neoplasms|61202414|0-14|All Races|Male and Female|2010|||
~|~|~|~|II(e) Unspecified lymphomas|61202414|0-14|All Races|Male and Female|2010|||
34.7|37.7|36.2|2222|III CNS and misc intracranial and intraspinal neoplasms|61202414|0-14|All Races|Male and Female|2010|||
2.8|3.7|3.3|202|III(a) Ependymomas and choroid plexus tumor|61202414|0-14|All Races|Male and Female|2010|||
17.4|19.6|18.5|1134|III(b) Astrocytomas|61202414|0-14|All Races|Male and Female|2010|||
6.7|8.1|7.3|452|III(c) Intracranial and intraspinal embryonal tumors|61202414|0-14|All Races|Male and Female|2010|||
5.5|6.7|6.1|372|III(d) Other gliomas|61202414|0-14|All Races|Male and Female|2010|||
0.5|0.9|0.6|39|III(e) Other specified intracranial & intraspinal neoplasms|61202414|0-14|All Races|Male and Female|2010|||
0.2|0.6|0.4|23|III(f) Unspecified intracranial and intraspinal neoplasms|61202414|0-14|All Races|Male and Female|2010|||
10.4|12.1|11.2|695|IV Neuroblastoma and other peripheral nervous cell tumors|61202414|0-14|All Races|Male and Female|2010|||
10.2|11.9|11.0|685|IV(a) Neuroblastoma and ganglioneuroblastoma|61202414|0-14|All Races|Male and Female|2010|||
~|~|~|~|IV(b) Other peripheral nervous cell tumors|61202414|0-14|All Races|Male and Female|2010|||
10.7|12.4|11.6|708|IX Soft tissue and other extraosseous sarcomas|61202414|0-14|All Races|Male and Female|2010|||
5.0|6.2|5.6|343|IX(a) Rhabdomyosarcomas|61202414|0-14|All Races|Male and Female|2010|||
0.6|1.0|0.8|48|IX(b) Fibrosarcomas, peripheral nerve sheath tumors & other fibrous neoplams|61202414|0-14|All Races|Male and Female|2010|||
~|~|~|~|IX(c) Kaposi sarcoma|61202414|0-14|All Races|Male and Female|2010|||
3.4|4.4|3.9|238|IX(d) Other specified soft tissue sarcomas|61202414|0-14|All Races|Male and Female|2010|||
1.0|1.6|1.3|79|IX(e) Unspecified soft tissue sarcomas|61202414|0-14|All Races|Male and Female|2010|||
0.1|0.4|0.3|16|Not classified by ICCC|61202414|0-14|All Races|Male and Female|2010|||
4.0|5.1|4.5|282|V Retinoblastoma|61202414|0-14|All Races|Male and Female|2010|||
7.8|9.3|8.5|528|VI Renal tumors|61202414|0-14|All Races|Male and Female|2010|||
7.4|8.9|8.1|506|VI(a) Nephroblastoma and other nonepithelial renal tumors|61202414|0-14|All Races|Male and Female|2010|||
0.2|0.5|0.3|20|VI(b) Renal carcinomas|61202414|0-14|All Races|Male and Female|2010|||
~|~|~|~|VI(c) Unspecified malignant renal tumors|61202414|0-14|All Races|Male and Female|2010|||
2.6|3.5|3.0|187|VII Hepatic tumors|61202414|0-14|All Races|Male and Female|2010|||
2.1|2.9|2.5|157|VII(a) Hepatoblastoma|61202414|0-14|All Races|Male and Female|2010|||
0.3|0.7|0.5|29|VII(b) Hepatic carcinomas|61202414|0-14|All Races|Male and Female|2010|||
~|~|~|~|VII(c) Unspecified malignant hepatic tumors|61202414|0-14|All Races|Male and Female|2010|||
6.1|7.4|6.7|408|VIII Malignant bone tumors|61202414|0-14|All Races|Male and Female|2010|||
3.2|4.2|3.7|225|VIII(a) Osteosarcomas|61202414|0-14|All Races|Male and Female|2010|||
~|~|~|~|VIII(b) Chondrosarcomas|61202414|0-14|All Races|Male and Female|2010|||
2.0|2.8|2.3|142|VIII(c) Ewing tumor and related sarcomas of bone|61202414|0-14|All Races|Male and Female|2010|||
0.2|0.5|0.3|20|VIII(d) Other specified malignant bone tumors|61202414|0-14|All Races|Male and Female|2010|||
~|~|~|~|VIII(e) Unspecified malignant bone tumors|61202414|0-14|All Races|Male and Female|2010|||
5.6|6.8|6.2|378|X Germ cell, trophoblastic tumors & neoplasms of gonads|61202414|0-14|All Races|Male and Female|2010|||
1.5|2.2|1.8|111|X(a) Intracranial & intraspinal germ cell tumors|61202414|0-14|All Races|Male and Female|2010|||
1.1|1.7|1.3|83|X(b) Malignant extracranial & extragonadal germ cell tumors|61202414|0-14|All Races|Male and Female|2010|||
2.2|3.1|2.6|160|X(c) Malignant gonadal germ cell tumors|61202414|0-14|All Races|Male and Female|2010|||
~|~|~|~|X(d) Gonadal carcinomas|61202414|0-14|All Races|Male and Female|2010|||
0.2|0.4|0.3|16|X(e) Other and unspecified malignant gonadal tumors|61202414|0-14|All Races|Male and Female|2010|||
6.4|7.8|7.1|429|XI Other malignant epithelial neoplasms and malignant melanomas|61202414|0-14|All Races|Male and Female|2010|||
~|~|~|~|XI(a) Adrenocortical carcinomas|61202414|0-14|All Races|Male and Female|2010|||
2.4|3.3|2.8|171|XI(b) Thyroid carcinomas|61202414|0-14|All Races|Male and Female|2010|||
0.2|0.4|0.3|17|XI(c) Nasopharyngeal carcinomas|61202414|0-14|All Races|Male and Female|2010|||
1.5|2.2|1.8|111|XI(d) Malignant melanomas|61202414|0-14|All Races|Male and Female|2010|||
~|~|~|~|XI(e) Skin carcinomas|61202414|0-14|All Races|Male and Female|2010|||
1.5|2.2|1.8|111|XI(f) Other and unspecified carcinomas|61202414|0-14|All Races|Male and Female|2010|||
0.4|0.8|0.6|38|XII Other and unspecified malignant neoplasms|61202414|0-14|All Races|Male and Female|2010|||
0.2|0.6|0.4|24|XII(a) Other specified malignant tumors|61202414|0-14|All Races|Male and Female|2010|||
~|~|~|~|XII(b) Other unspecified malignant tumors|61202414|0-14|All Races|Male and Female|2010|||
168.0|170.9|169.5|51480|All ICCC Groups Combined|302918297|0-14|All Races|Male and Female|2010-2014|||
51.3|53.0|52.2|15877|I Leukemias, myeloproliferative & myelodysplastic diseases|302918297|0-14|All Races|Male and Female|2010-2014|||
38.8|40.2|39.5|12030|I(a) Lymphoid leukemias|302918297|0-14|All Races|Male and Female|2010-2014|||
7.3|7.9|7.6|2312|I(b) Acute myeloid leukemias|302918297|0-14|All Races|Male and Female|2010-2014|||
1.5|1.8|1.7|509|I(c) Chronic myeloproliferative diseases|302918297|0-14|All Races|Male and Female|2010-2014|||
1.4|1.7|1.6|477|I(d) Myelodysplastic syndrome and other myeloproliferative diseases|302918297|0-14|All Races|Male and Female|2010-2014|||
1.7|2.0|1.8|549|I(e) Unspecified and other specified leukemias|302918297|0-14|All Races|Male and Female|2010-2014|||
20.6|21.7|21.2|6398|II Lymphomas and reticuloendothelial neoplasms|302918297|0-14|All Races|Male and Female|2010-2014|||
5.2|5.7|5.4|1632|II(a) Hodgkin lymphomas|302918297|0-14|All Races|Male and Female|2010-2014|||
7.0|7.7|7.3|2220|II(b) Non-Hodgkin lymphomas (except Burkitt lymphoma)|302918297|0-14|All Races|Male and Female|2010-2014|||
2.3|2.7|2.5|752|II(c) Burkitt lymphoma|302918297|0-14|All Races|Male and Female|2010-2014|||
5.4|5.9|5.6|1718|II(d) Miscellaneous lymphoreticular neoplasms|302918297|0-14|All Races|Male and Female|2010-2014|||
0.2|0.3|0.3|76|II(e) Unspecified lymphomas|302918297|0-14|All Races|Male and Female|2010-2014|||
