AGE|AGE_SPECIFIC_CI_LOWER|AGE_SPECIFIC_CI_UPPER|AGE_SPECIFIC_RATE|COUNT|EVENT_TYPE|POPULATION|SITE|YEAR
15-19|0.2|0.4|0.3|61|Mortality|20456284|Non-Hodgkin Lymphoma|2001
5-9|~|~|~|~|Mortality|20173362|Non-Hodgkin Lymphoma|2001
<1|~|~|~|~|Mortality|4012658|Non-Hodgkin Lymphoma|2001
1-4|~|~|~|~|Mortality|15285559|Oral Cavity and Pharynx|2001
10-14|~|~|~|~|Mortality|20978678|Oral Cavity and Pharynx|2001
15-19|~|~|~|~|Mortality|20456284|Oral Cavity and Pharynx|2001
5-9|~|~|~|~|Mortality|20173362|Oral Cavity and Pharynx|2001
<1|~|~|~|~|Mortality|4012658|Oral Cavity and Pharynx|2001
1-4|~|~|~|~|Mortality|7468536|Ovary|2001
10-14|~|~|~|~|Mortality|10231469|Ovary|2001
15-19|~|~|~|~|Mortality|9908897|Ovary|2001
5-9|~|~|~|~|Mortality|9844298|Ovary|2001
<1|~|~|~|~|Mortality|1962905|Ovary|2001
1-4|~|~|~|~|Mortality|15285559|Pancreas|2001
10-14|~|~|~|~|Mortality|20978678|Pancreas|2001
15-19|~|~|~|~|Mortality|20456284|Pancreas|2001
5-9|~|~|~|~|Mortality|20173362|Pancreas|2001
<1|~|~|~|~|Mortality|4012658|Pancreas|2001
1-4|~|~|~|~|Mortality|7817023|Prostate|2001
10-14|~|~|~|~|Mortality|10747209|Prostate|2001
15-19|~|~|~|~|Mortality|10547387|Prostate|2001
5-9|~|~|~|~|Mortality|10329064|Prostate|2001
<1|~|~|~|~|Mortality|2049753|Prostate|2001
1-4|~|~|~|~|Mortality|15285559|Stomach|2001
10-14|~|~|~|~|Mortality|20978678|Stomach|2001
15-19|~|~|~|~|Mortality|20456284|Stomach|2001
5-9|~|~|~|~|Mortality|20173362|Stomach|2001
<1|~|~|~|~|Mortality|4012658|Stomach|2001
1-4|~|~|~|~|Mortality|7817023|Testis|2001
10-14|~|~|~|~|Mortality|10747209|Testis|2001
15-19|~|~|~|~|Mortality|10547387|Testis|2001
5-9|~|~|~|~|Mortality|10329064|Testis|2001
<1|~|~|~|~|Mortality|2049753|Testis|2001
1-4|~|~|~|~|Mortality|15285559|Thyroid|2001
10-14|~|~|~|~|Mortality|20978678|Thyroid|2001
15-19|~|~|~|~|Mortality|20456284|Thyroid|2001
5-9|~|~|~|~|Mortality|20173362|Thyroid|2001
<1|~|~|~|~|Mortality|4012658|Thyroid|2001
1-4|~|~|~|~|Mortality|15285559|Urinary Bladder|2001
10-14|~|~|~|~|Mortality|20978678|Urinary Bladder|2001
15-19|~|~|~|~|Mortality|20456284|Urinary Bladder|2001
5-9|~|~|~|~|Mortality|20173362|Urinary Bladder|2001
<1|~|~|~|~|Mortality|4012658|Urinary Bladder|2001
1-4|20.6|22.1|21.3|3264|Incidence|15288703|All Cancer Sites Combined|2002
10-14|12.2|13.2|12.7|2671|Incidence|21008244|All Cancer Sites Combined|2002
15-19|21.0|22.3|21.6|4403|Incidence|20348212|All Cancer Sites Combined|2002
5-9|11.6|12.6|12.1|2374|Incidence|19633713|All Cancer Sites Combined|2002
<1|23.1|26.2|24.6|960|Incidence|3903658|All Cancer Sites Combined|2002
1-4|4.1|4.8|4.5|682|Incidence|15288703|Brain and Other Nervous System|2002
10-14|2.4|2.9|2.6|555|Incidence|21008244|Brain and Other Nervous System|2002
15-19|2.0|2.4|2.2|448|Incidence|20348212|Brain and Other Nervous System|2002
5-9|3.4|3.9|3.6|716|Incidence|19633713|Brain and Other Nervous System|2002
<1|3.3|4.5|3.9|151|Incidence|3903658|Brain and Other Nervous System|2002
1-4|~|~|~|~|Incidence|7472224|Cervix|2002
10-14|~|~|~|~|Incidence|10247059|Cervix|2002
15-19|0.1|0.4|0.2|23|Incidence|9852507|Cervix|2002
5-9|~|~|~|~|Incidence|9582252|Cervix|2002
<1|~|~|~|~|Incidence|1909391|Cervix|2002
1-4|~|~|~|~|Incidence|15288703|Colon and Rectum|2002
10-14|0.1|0.1|0.1|19|Incidence|21008244|Colon and Rectum|2002
15-19|0.2|0.3|0.2|47|Incidence|20348212|Colon and Rectum|2002
5-9|~|~|~|~|Incidence|19633713|Colon and Rectum|2002
<1|~|~|~|~|Incidence|3903658|Colon and Rectum|2002
1-4|~|~|~|~|Incidence|7472224|Corpus and Uterus, NOS|2002
10-14|~|~|~|~|Incidence|10247059|Corpus and Uterus, NOS|2002
15-19|~|~|~|~|Incidence|9852507|Corpus and Uterus, NOS|2002
5-9|~|~|~|~|Incidence|9582252|Corpus and Uterus, NOS|2002
<1|~|~|~|~|Incidence|1909391|Corpus and Uterus, NOS|2002
1-4|~|~|~|~|Incidence|15288703|Esophagus|2002
10-14|~|~|~|~|Incidence|21008244|Esophagus|2002
15-19|~|~|~|~|Incidence|20348212|Esophagus|2002
5-9|~|~|~|~|Incidence|19633713|Esophagus|2002
<1|~|~|~|~|Incidence|3903658|Esophagus|2002
1-4|~|~|~|~|Incidence|7472224|Female Breast|2002
10-14|~|~|~|~|Incidence|10247059|Female Breast|2002
15-19|0.1|0.3|0.2|19|Incidence|9852507|Female Breast|2002
5-9|~|~|~|~|Incidence|9582252|Female Breast|2002
<1|~|~|~|~|Incidence|1909391|Female Breast|2002
1-4|~|~|~|~|Incidence|7472224|Female Breast, <i>in situ</i>|2002
10-14|~|~|~|~|Incidence|10247059|Female Breast, <i>in situ</i>|2002
15-19|~|~|~|~|Incidence|9852507|Female Breast, <i>in situ</i>|2002
5-9|~|~|~|~|Incidence|9582252|Female Breast, <i>in situ</i>|2002
<1|~|~|~|~|Incidence|1909391|Female Breast, <i>in situ</i>|2002
1-4|~|~|~|~|Incidence|15288703|Hodgkin Lymphoma|2002
10-14|1.1|1.4|1.2|258|Incidence|21008244|Hodgkin Lymphoma|2002
15-19|3.0|3.5|3.3|662|Incidence|20348212|Hodgkin Lymphoma|2002
5-9|0.3|0.4|0.4|69|Incidence|19633713|Hodgkin Lymphoma|2002
<1|~|~|~|~|Incidence|3903658|Hodgkin Lymphoma|2002
1-4|~|~|~|~|Incidence|15288703|Kaposi Sarcoma|2002
10-14|~|~|~|~|Incidence|21008244|Kaposi Sarcoma|2002
15-19|~|~|~|~|Incidence|20348212|Kaposi Sarcoma|2002
5-9|~|~|~|~|Incidence|19633713|Kaposi Sarcoma|2002
<1|~|~|~|~|Incidence|3903658|Kaposi Sarcoma|2002
1-4|1.8|2.3|2.0|309|Incidence|15288703|Kidney and Renal Pelvis|2002
10-14|0.1|0.2|0.1|26|Incidence|21008244|Kidney and Renal Pelvis|2002
15-19|0.1|0.2|0.1|28|Incidence|20348212|Kidney and Renal Pelvis|2002
5-9|0.4|0.6|0.5|96|Incidence|19633713|Kidney and Renal Pelvis|2002
<1|1.5|2.4|1.9|76|Incidence|3903658|Kidney and Renal Pelvis|2002
1-4|~|~|~|~|Incidence|15288703|Larynx|2002
10-14|~|~|~|~|Incidence|21008244|Larynx|2002
15-19|~|~|~|~|Incidence|20348212|Larynx|2002
5-9|~|~|~|~|Incidence|19633713|Larynx|2002
<1|~|~|~|~|Incidence|3903658|Larynx|2002
1-4|8.1|9.1|8.6|1315|Incidence|15288703|Leukemias|2002
10-14|2.6|3.0|2.8|585|Incidence|21008244|Leukemias|2002
15-19|2.6|3.1|2.8|576|Incidence|20348212|Leukemias|2002
5-9|3.6|4.1|3.9|758|Incidence|19633713|Leukemias|2002
<1|3.6|5.0|4.3|166|Incidence|3903658|Leukemias|2002
1-4|0.3|0.6|0.4|67|Incidence|15288703|Liver and Intrahepatic Bile Duct|2002
10-14|0.0|0.1|0.1|17|Incidence|21008244|Liver and Intrahepatic Bile Duct|2002
15-19|0.1|0.2|0.1|25|Incidence|20348212|Liver and Intrahepatic Bile Duct|2002
5-9|0.1|0.1|0.1|18|Incidence|19633713|Liver and Intrahepatic Bile Duct|2002
<1|0.6|1.2|0.8|32|Incidence|3903658|Liver and Intrahepatic Bile Duct|2002
1-4|~|~|~|~|Incidence|15288703|Lung and Bronchus|2002
10-14|~|~|~|~|Incidence|21008244|Lung and Bronchus|2002
15-19|0.1|0.2|0.2|32|Incidence|20348212|Lung and Bronchus|2002
5-9|~|~|~|~|Incidence|19633713|Lung and Bronchus|2002
<1|~|~|~|~|Incidence|3903658|Lung and Bronchus|2002
1-4|~|~|~|~|Incidence|7472224|Male and Female Breast|2002
10-14|~|~|~|~|Incidence|10247059|Male and Female Breast|2002
15-19|0.1|0.3|0.2|19|Incidence|9852507|Male and Female Breast|2002
5-9|~|~|~|~|Incidence|9582252|Male and Female Breast|2002
<1|~|~|~|~|Incidence|1909391|Male and Female Breast|2002
1-4|~|~|~|~|Incidence|7472224|Male and Female Breast, <i>in situ</i>|2002
10-14|~|~|~|~|Incidence|10247059|Male and Female Breast, <i>in situ</i>|2002
15-19|~|~|~|~|Incidence|9852507|Male and Female Breast, <i>in situ</i>|2002
5-9|~|~|~|~|Incidence|9582252|Male and Female Breast, <i>in situ</i>|2002
<1|~|~|~|~|Incidence|1909391|Male and Female Breast, <i>in situ</i>|2002
1-4|0.1|0.2|0.1|16|Incidence|15288703|Melanomas of the Skin|2002
10-14|0.3|0.5|0.4|78|Incidence|21008244|Melanomas of the Skin|2002
15-19|1.6|2.0|1.8|372|Incidence|20348212|Melanomas of the Skin|2002
5-9|0.1|0.2|0.2|33|Incidence|19633713|Melanomas of the Skin|2002
<1|~|~|~|~|Incidence|3903658|Melanomas of the Skin|2002
1-4|~|~|~|~|Incidence|15288703|Mesothelioma|2002
10-14|~|~|~|~|Incidence|21008244|Mesothelioma|2002
15-19|~|~|~|~|Incidence|20348212|Mesothelioma|2002
5-9|~|~|~|~|Incidence|19633713|Mesothelioma|2002
<1|~|~|~|~|Incidence|3903658|Mesothelioma|2002
1-4|~|~|~|~|Incidence|15288703|Myeloma|2002
10-14|~|~|~|~|Incidence|21008244|Myeloma|2002
15-19|~|~|~|~|Incidence|20348212|Myeloma|2002
5-9|~|~|~|~|Incidence|19633713|Myeloma|2002
<1|~|~|~|~|Incidence|3903658|Myeloma|2002
1-4|0.6|0.9|0.7|109|Incidence|15288703|Non-Hodgkin Lymphoma|2002
10-14|1.0|1.3|1.1|236|Incidence|21008244|Non-Hodgkin Lymphoma|2002
15-19|1.6|2.0|1.8|365|Incidence|20348212|Non-Hodgkin Lymphoma|2002
5-9|0.8|1.1|0.9|183|Incidence|19633713|Non-Hodgkin Lymphoma|2002
<1|~|~|~|~|Incidence|3903658|Non-Hodgkin Lymphoma|2002
1-4|~|~|~|~|Incidence|15288703|Oral Cavity and Pharynx|2002
10-14|0.2|0.3|0.3|54|Incidence|21008244|Oral Cavity and Pharynx|2002
15-19|0.3|0.5|0.4|86|Incidence|20348212|Oral Cavity and Pharynx|2002
5-9|0.1|0.1|0.1|17|Incidence|19633713|Oral Cavity and Pharynx|2002
<1|~|~|~|~|Incidence|3903658|Oral Cavity and Pharynx|2002
1-4|~|~|~|~|Incidence|7472224|Ovary|2002
10-14|0.4|0.7|0.6|57|Incidence|10247059|Ovary|2002
15-19|1.2|1.6|1.4|136|Incidence|9852507|Ovary|2002
5-9|0.2|0.4|0.3|26|Incidence|9582252|Ovary|2002
<1|~|~|~|~|Incidence|1909391|Ovary|2002
1-4|~|~|~|~|Incidence|15288703|Pancreas|2002
10-14|~|~|~|~|Incidence|21008244|Pancreas|2002
15-19|~|~|~|~|Incidence|20348212|Pancreas|2002
5-9|~|~|~|~|Incidence|19633713|Pancreas|2002
<1|~|~|~|~|Incidence|3903658|Pancreas|2002
1-4|~|~|~|~|Incidence|7816479|Prostate|2002
10-14|~|~|~|~|Incidence|10761185|Prostate|2002
15-19|~|~|~|~|Incidence|10495705|Prostate|2002
5-9|~|~|~|~|Incidence|10051461|Prostate|2002
<1|~|~|~|~|Incidence|1994267|Prostate|2002
1-4|~|~|~|~|Incidence|15288703|Stomach|2002
10-14|~|~|~|~|Incidence|21008244|Stomach|2002
15-19|~|~|~|~|Incidence|20348212|Stomach|2002
5-9|~|~|~|~|Incidence|19633713|Stomach|2002
<1|~|~|~|~|Incidence|3903658|Stomach|2002
1-4|0.2|0.5|0.3|27|Incidence|7816479|Testis|2002
10-14|0.1|0.3|0.2|24|Incidence|10761185|Testis|2002
15-19|3.1|3.8|3.5|363|Incidence|10495705|Testis|2002
5-9|~|~|~|~|Incidence|10051461|Testis|2002
<1|0.7|1.7|1.1|22|Incidence|1994267|Testis|2002
1-4|~|~|~|~|Incidence|15288703|Thyroid|2002
10-14|0.4|0.6|0.5|96|Incidence|21008244|Thyroid|2002
15-19|1.5|1.9|1.7|351|Incidence|20348212|Thyroid|2002
5-9|0.1|0.2|0.1|21|Incidence|19633713|Thyroid|2002
<1|~|~|~|~|Incidence|3903658|Thyroid|2002
1-4|~|~|~|~|Incidence|15288703|Urinary Bladder|2002
10-14|~|~|~|~|Incidence|21008244|Urinary Bladder|2002
15-19|0.1|0.1|0.1|19|Incidence|20348212|Urinary Bladder|2002
5-9|~|~|~|~|Incidence|19633713|Urinary Bladder|2002
<1|~|~|~|~|Incidence|3903658|Urinary Bladder|2002
1-4|2.3|2.9|2.6|402|Mortality|15477731|All Cancer Sites Combined|2002
10-14|2.3|2.7|2.5|535|Mortality|21261421|All Cancer Sites Combined|2002
15-19|3.3|3.8|3.5|723|Mortality|20610370|All Cancer Sites Combined|2002
5-9|2.5|2.9|2.7|537|Mortality|19872417|All Cancer Sites Combined|2002
<1|1.5|2.4|1.9|74|Mortality|3951461|All Cancer Sites Combined|2002
1-4|0.6|0.9|0.7|114|Mortality|15477731|Brain and Other Nervous System|2002
10-14|0.5|0.8|0.6|135|Mortality|21261421|Brain and Other Nervous System|2002
15-19|0.4|0.6|0.5|108|Mortality|20610370|Brain and Other Nervous System|2002
5-9|0.9|1.2|1.0|202|Mortality|19872417|Brain and Other Nervous System|2002
<1|~|~|~|~|Mortality|3951461|Brain and Other Nervous System|2002
1-4|~|~|~|~|Mortality|7564711|Cervix|2002
10-14|~|~|~|~|Mortality|10371422|Cervix|2002
15-19|~|~|~|~|Mortality|9981879|Cervix|2002
5-9|~|~|~|~|Mortality|9699735|Cervix|2002
<1|~|~|~|~|Mortality|1932939|Cervix|2002
1-4|~|~|~|~|Mortality|15477731|Colon and Rectum|2002
10-14|~|~|~|~|Mortality|21261421|Colon and Rectum|2002
15-19|~|~|~|~|Mortality|20610370|Colon and Rectum|2002
5-9|~|~|~|~|Mortality|19872417|Colon and Rectum|2002
<1|~|~|~|~|Mortality|3951461|Colon and Rectum|2002
1-4|~|~|~|~|Mortality|7564711|Corpus and Uterus, NOS|2002
10-14|~|~|~|~|Mortality|10371422|Corpus and Uterus, NOS|2002
15-19|~|~|~|~|Mortality|9981879|Corpus and Uterus, NOS|2002
5-9|~|~|~|~|Mortality|9699735|Corpus and Uterus, NOS|2002
<1|~|~|~|~|Mortality|1932939|Corpus and Uterus, NOS|2002
1-4|~|~|~|~|Mortality|15477731|Esophagus|2002
10-14|~|~|~|~|Mortality|21261421|Esophagus|2002
15-19|~|~|~|~|Mortality|20610370|Esophagus|2002
5-9|~|~|~|~|Mortality|19872417|Esophagus|2002
<1|~|~|~|~|Mortality|3951461|Esophagus|2002
1-4|~|~|~|~|Mortality|7564711|Female Breast|2002
10-14|~|~|~|~|Mortality|10371422|Female Breast|2002
15-19|~|~|~|~|Mortality|9981879|Female Breast|2002
5-9|~|~|~|~|Mortality|9699735|Female Breast|2002
<1|~|~|~|~|Mortality|1932939|Female Breast|2002
1-4|~|~|~|~|Mortality|15477731|Hodgkin Lymphoma|2002
10-14|~|~|~|~|Mortality|21261421|Hodgkin Lymphoma|2002
15-19|0.1|0.2|0.1|27|Mortality|20610370|Hodgkin Lymphoma|2002
5-9|~|~|~|~|Mortality|19872417|Hodgkin Lymphoma|2002
<1|~|~|~|~|Mortality|3951461|Hodgkin Lymphoma|2002
1-4|.|.|.|.|Mortality|15477731|Kaposi Sarcoma|2002
10-14|.|.|.|.|Mortality|21261421|Kaposi Sarcoma|2002
15-19|.|.|.|.|Mortality|20610370|Kaposi Sarcoma|2002
5-9|.|.|.|.|Mortality|19872417|Kaposi Sarcoma|2002
<1|.|.|.|.|Mortality|3951461|Kaposi Sarcoma|2002
1-4|~|~|~|~|Mortality|15477731|Kidney and Renal Pelvis|2002
10-14|~|~|~|~|Mortality|21261421|Kidney and Renal Pelvis|2002
15-19|~|~|~|~|Mortality|20610370|Kidney and Renal Pelvis|2002
5-9|0.1|0.2|0.1|23|Mortality|19872417|Kidney and Renal Pelvis|2002
<1|~|~|~|~|Mortality|3951461|Kidney and Renal Pelvis|2002
1-4|~|~|~|~|Mortality|15477731|Larynx|2002
10-14|~|~|~|~|Mortality|21261421|Larynx|2002
15-19|~|~|~|~|Mortality|20610370|Larynx|2002
5-9|~|~|~|~|Mortality|19872417|Larynx|2002
<1|~|~|~|~|Mortality|3951461|Larynx|2002
1-4|0.5|0.8|0.7|104|Mortality|15477731|Leukemias|2002
10-14|0.7|0.9|0.8|168|Mortality|21261421|Leukemias|2002
15-19|1.0|1.3|1.1|237|Mortality|20610370|Leukemias|2002
5-9|0.6|0.9|0.7|148|Mortality|19872417|Leukemias|2002
<1|0.3|0.8|0.5|21|Mortality|3951461|Leukemias|2002
1-4|0.1|0.3|0.2|28|Mortality|15477731|Liver and Intrahepatic Bile Duct|2002
10-14|~|~|~|~|Mortality|21261421|Liver and Intrahepatic Bile Duct|2002
15-19|~|~|~|~|Mortality|20610370|Liver and Intrahepatic Bile Duct|2002
5-9|~|~|~|~|Mortality|19872417|Liver and Intrahepatic Bile Duct|2002
<1|~|~|~|~|Mortality|3951461|Liver and Intrahepatic Bile Duct|2002
1-4|~|~|~|~|Mortality|15477731|Lung and Bronchus|2002
10-14|~|~|~|~|Mortality|21261421|Lung and Bronchus|2002
15-19|~|~|~|~|Mortality|20610370|Lung and Bronchus|2002
5-9|~|~|~|~|Mortality|19872417|Lung and Bronchus|2002
<1|~|~|~|~|Mortality|3951461|Lung and Bronchus|2002
1-4|~|~|~|~|Mortality|7564711|Male and Female Breast|2002
10-14|~|~|~|~|Mortality|10371422|Male and Female Breast|2002
15-19|~|~|~|~|Mortality|9981879|Male and Female Breast|2002
5-9|~|~|~|~|Mortality|9699735|Male and Female Breast|2002
<1|~|~|~|~|Mortality|1932939|Male and Female Breast|2002
1-4|~|~|~|~|Mortality|15477731|Melanomas of the Skin|2002
10-14|~|~|~|~|Mortality|21261421|Melanomas of the Skin|2002
15-19|~|~|~|~|Mortality|20610370|Melanomas of the Skin|2002
5-9|~|~|~|~|Mortality|19872417|Melanomas of the Skin|2002
<1|~|~|~|~|Mortality|3951461|Melanomas of the Skin|2002
1-4|~|~|~|~|Mortality|15477731|Mesothelioma|2002
10-14|~|~|~|~|Mortality|21261421|Mesothelioma|2002
15-19|~|~|~|~|Mortality|20610370|Mesothelioma|2002
5-9|~|~|~|~|Mortality|19872417|Mesothelioma|2002
<1|~|~|~|~|Mortality|3951461|Mesothelioma|2002
1-4|~|~|~|~|Mortality|15477731|Myeloma|2002
10-14|~|~|~|~|Mortality|21261421|Myeloma|2002
15-19|~|~|~|~|Mortality|20610370|Myeloma|2002
5-9|~|~|~|~|Mortality|19872417|Myeloma|2002
<1|~|~|~|~|Mortality|3951461|Myeloma|2002
1-4|~|~|~|~|Mortality|15477731|Non-Hodgkin Lymphoma|2002
10-14|0.1|0.3|0.2|42|Mortality|21261421|Non-Hodgkin Lymphoma|2002
15-19|0.2|0.3|0.2|44|Mortality|20610370|Non-Hodgkin Lymphoma|2002
5-9|~|~|~|~|Mortality|19872417|Non-Hodgkin Lymphoma|2002
<1|~|~|~|~|Mortality|3951461|Non-Hodgkin Lymphoma|2002
1-4|~|~|~|~|Mortality|15477731|Oral Cavity and Pharynx|2002
10-14|~|~|~|~|Mortality|21261421|Oral Cavity and Pharynx|2002
15-19|~|~|~|~|Mortality|20610370|Oral Cavity and Pharynx|2002
5-9|~|~|~|~|Mortality|19872417|Oral Cavity and Pharynx|2002
<1|~|~|~|~|Mortality|3951461|Oral Cavity and Pharynx|2002
1-4|~|~|~|~|Mortality|7564711|Ovary|2002
10-14|~|~|~|~|Mortality|10371422|Ovary|2002
15-19|~|~|~|~|Mortality|9981879|Ovary|2002
5-9|~|~|~|~|Mortality|9699735|Ovary|2002
<1|~|~|~|~|Mortality|1932939|Ovary|2002
1-4|~|~|~|~|Mortality|15477731|Pancreas|2002
10-14|~|~|~|~|Mortality|21261421|Pancreas|2002
15-19|~|~|~|~|Mortality|20610370|Pancreas|2002
5-9|~|~|~|~|Mortality|19872417|Pancreas|2002
<1|~|~|~|~|Mortality|3951461|Pancreas|2002
1-4|~|~|~|~|Mortality|7913020|Prostate|2002
10-14|~|~|~|~|Mortality|10889999|Prostate|2002
15-19|~|~|~|~|Mortality|10628491|Prostate|2002
5-9|~|~|~|~|Mortality|10172682|Prostate|2002
<1|~|~|~|~|Mortality|2018522|Prostate|2002
1-4|~|~|~|~|Mortality|15477731|Stomach|2002
10-14|~|~|~|~|Mortality|21261421|Stomach|2002
15-19|~|~|~|~|Mortality|20610370|Stomach|2002
5-9|~|~|~|~|Mortality|19872417|Stomach|2002
<1|~|~|~|~|Mortality|3951461|Stomach|2002
1-4|~|~|~|~|Mortality|7913020|Testis|2002
10-14|~|~|~|~|Mortality|10889999|Testis|2002
15-19|~|~|~|~|Mortality|10628491|Testis|2002
5-9|~|~|~|~|Mortality|10172682|Testis|2002
<1|~|~|~|~|Mortality|2018522|Testis|2002
1-4|~|~|~|~|Mortality|15477731|Thyroid|2002
10-14|~|~|~|~|Mortality|21261421|Thyroid|2002
15-19|~|~|~|~|Mortality|20610370|Thyroid|2002
5-9|~|~|~|~|Mortality|19872417|Thyroid|2002
<1|~|~|~|~|Mortality|3951461|Thyroid|2002
1-4|~|~|~|~|Mortality|15477731|Urinary Bladder|2002
10-14|~|~|~|~|Mortality|21261421|Urinary Bladder|2002
15-19|~|~|~|~|Mortality|20610370|Urinary Bladder|2002
5-9|~|~|~|~|Mortality|19872417|Urinary Bladder|2002
<1|~|~|~|~|Mortality|3951461|Urinary Bladder|2002
1-4|20.1|21.5|20.8|3248|Incidence|15616575|All Cancer Sites Combined|2003
10-14|12.3|13.3|12.8|2734|Incidence|21415353|All Cancer Sites Combined|2003
15-19|20.7|21.9|21.3|4429|Incidence|20797166|All Cancer Sites Combined|2003
5-9|11.0|11.9|11.5|2247|Incidence|19620851|All Cancer Sites Combined|2003
<1|23.9|27.0|25.4|1010|Incidence|3975871|All Cancer Sites Combined|2003
1-4|3.9|4.5|4.2|657|Incidence|15616575|Brain and Other Nervous System|2003
10-14|2.5|2.9|2.7|581|Incidence|21415353|Brain and Other Nervous System|2003
15-19|2.0|2.4|2.2|463|Incidence|20797166|Brain and Other Nervous System|2003
5-9|3.0|3.5|3.3|639|Incidence|19620851|Brain and Other Nervous System|2003
<1|3.2|4.5|3.8|151|Incidence|3975871|Brain and Other Nervous System|2003
1-4|~|~|~|~|Incidence|7636693|Cervix|2003
10-14|~|~|~|~|Incidence|10444875|Cervix|2003
15-19|0.1|0.3|0.2|19|Incidence|10086567|Cervix|2003
5-9|~|~|~|~|Incidence|9581247|Cervix|2003
<1|~|~|~|~|Incidence|1942634|Cervix|2003
1-4|~|~|~|~|Incidence|15616575|Colon and Rectum|2003
10-14|0.0|0.1|0.1|18|Incidence|21415353|Colon and Rectum|2003
15-19|0.2|0.3|0.3|54|Incidence|20797166|Colon and Rectum|2003
5-9|~|~|~|~|Incidence|19620851|Colon and Rectum|2003
<1|~|~|~|~|Incidence|3975871|Colon and Rectum|2003
1-4|~|~|~|~|Incidence|7636693|Corpus and Uterus, NOS|2003
10-14|~|~|~|~|Incidence|10444875|Corpus and Uterus, NOS|2003
15-19|~|~|~|~|Incidence|10086567|Corpus and Uterus, NOS|2003
5-9|~|~|~|~|Incidence|9581247|Corpus and Uterus, NOS|2003
<1|~|~|~|~|Incidence|1942634|Corpus and Uterus, NOS|2003
1-4|~|~|~|~|Incidence|15616575|Esophagus|2003
10-14|~|~|~|~|Incidence|21415353|Esophagus|2003
15-19|~|~|~|~|Incidence|20797166|Esophagus|2003
5-9|~|~|~|~|Incidence|19620851|Esophagus|2003
<1|~|~|~|~|Incidence|3975871|Esophagus|2003
1-4|~|~|~|~|Incidence|7636693|Female Breast|2003
10-14|~|~|~|~|Incidence|10444875|Female Breast|2003
15-19|0.1|0.3|0.2|18|Incidence|10086567|Female Breast|2003
5-9|~|~|~|~|Incidence|9581247|Female Breast|2003
<1|~|~|~|~|Incidence|1942634|Female Breast|2003
1-4|~|~|~|~|Incidence|7636693|Female Breast, <i>in situ</i>|2003
10-14|~|~|~|~|Incidence|10444875|Female Breast, <i>in situ</i>|2003
15-19|~|~|~|~|Incidence|10086567|Female Breast, <i>in situ</i>|2003
5-9|~|~|~|~|Incidence|9581247|Female Breast, <i>in situ</i>|2003
<1|~|~|~|~|Incidence|1942634|Female Breast, <i>in situ</i>|2003
1-4|0.1|0.2|0.1|19|Incidence|15616575|Hodgkin Lymphoma|2003
10-14|1.1|1.4|1.2|256|Incidence|21415353|Hodgkin Lymphoma|2003
15-19|2.9|3.4|3.2|663|Incidence|20797166|Hodgkin Lymphoma|2003
5-9|0.4|0.6|0.4|88|Incidence|19620851|Hodgkin Lymphoma|2003
<1|~|~|~|~|Incidence|3975871|Hodgkin Lymphoma|2003
1-4|~|~|~|~|Incidence|15616575|Kaposi Sarcoma|2003
10-14|~|~|~|~|Incidence|21415353|Kaposi Sarcoma|2003
15-19|~|~|~|~|Incidence|20797166|Kaposi Sarcoma|2003
5-9|~|~|~|~|Incidence|19620851|Kaposi Sarcoma|2003
<1|~|~|~|~|Incidence|3975871|Kaposi Sarcoma|2003
1-4|1.8|2.3|2.0|316|Incidence|15616575|Kidney and Renal Pelvis|2003
10-14|0.1|0.2|0.2|34|Incidence|21415353|Kidney and Renal Pelvis|2003
15-19|0.1|0.2|0.1|31|Incidence|20797166|Kidney and Renal Pelvis|2003
5-9|0.4|0.6|0.5|103|Incidence|19620851|Kidney and Renal Pelvis|2003
<1|1.5|2.3|1.9|74|Incidence|3975871|Kidney and Renal Pelvis|2003
1-4|~|~|~|~|Incidence|15616575|Larynx|2003
10-14|~|~|~|~|Incidence|21415353|Larynx|2003
15-19|~|~|~|~|Incidence|20797166|Larynx|2003
5-9|~|~|~|~|Incidence|19620851|Larynx|2003
<1|~|~|~|~|Incidence|3975871|Larynx|2003
1-4|7.7|8.6|8.1|1267|Incidence|15616575|Leukemias|2003
10-14|2.3|2.8|2.6|547|Incidence|21415353|Leukemias|2003
15-19|2.5|3.0|2.7|567|Incidence|20797166|Leukemias|2003
5-9|3.6|4.1|3.9|757|Incidence|19620851|Leukemias|2003
<1|3.8|5.1|4.4|176|Incidence|3975871|Leukemias|2003
1-4|0.4|0.6|0.5|72|Incidence|15616575|Liver and Intrahepatic Bile Duct|2003
10-14|0.1|0.2|0.1|29|Incidence|21415353|Liver and Intrahepatic Bile Duct|2003
15-19|0.1|0.2|0.1|24|Incidence|20797166|Liver and Intrahepatic Bile Duct|2003
5-9|0.1|0.1|0.1|17|Incidence|19620851|Liver and Intrahepatic Bile Duct|2003
<1|1.0|1.8|1.4|55|Incidence|3975871|Liver and Intrahepatic Bile Duct|2003
1-4|~|~|~|~|Incidence|15616575|Lung and Bronchus|2003
10-14|~|~|~|~|Incidence|21415353|Lung and Bronchus|2003
15-19|0.1|0.2|0.1|27|Incidence|20797166|Lung and Bronchus|2003
5-9|~|~|~|~|Incidence|19620851|Lung and Bronchus|2003
<1|~|~|~|~|Incidence|3975871|Lung and Bronchus|2003
