AGE|AGE_ADJUSTED_CI_LOWER|AGE_ADJUSTED_CI_UPPER|AGE_ADJUSTED_RATE|BEHAVIOR|COUNT|POPULATION|SEX|SITE|YEAR|CRUDE_CI_LOWER|CRUDE_CI_UPPER|CRUDE_RATE
0-19|~|~|~|Malignant|~|42158997|Male|Nerve sheath, benign and malignant|2006|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|154|42367071|Male|Nerve sheath, benign and malignant|2007|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|42367071|Male|Nerve sheath, benign and malignant|2007|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|141|42541971|Male|Nerve sheath, benign and malignant|2008|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42541971|Male|Nerve sheath, benign and malignant|2008|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|147|42609915|Male|Nerve sheath, benign and malignant|2009|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42609915|Male|Nerve sheath, benign and malignant|2009|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|133|42551068|Male|Nerve sheath, benign and malignant|2010|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42551068|Male|Nerve sheath, benign and malignant|2010|~|~|~
0-19|0.3|0.3|0.3|Benign/Borderline|667|209288659|Male|Nerve sheath, benign and malignant|2010-2014|0.3|0.3|0.3
0-19|~|~|~|Malignant|~|209288659|Male|Nerve sheath, benign and malignant|2010-2014|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|132|42004894|Male|Nerve sheath, benign and malignant|2011|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42004894|Male|Nerve sheath, benign and malignant|2011|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|145|42188304|Male|Nerve sheath, benign and malignant|2012|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42188304|Male|Nerve sheath, benign and malignant|2012|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|134|42054058|Male|Nerve sheath, benign and malignant|2013|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42054058|Male|Nerve sheath, benign and malignant|2013|~|~|~
0-19|0.2|0.4|0.3|Benign/Borderline|125|41979659|Male|Nerve sheath, benign and malignant|2014|0.2|0.4|0.3
0-19|~|~|~|Malignant|~|41979659|Male|Nerve sheath, benign and malignant|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Neuroepithelial|2004|~|~|~
0-19|~|~|~|Malignant|~|41889233|Male|Neuroepithelial|2004|~|~|~
0-19|~|~|~|Benign/Borderline|~|42006384|Male|Neuroepithelial|2005|~|~|~
0-19|~|~|~|Malignant|~|42006384|Male|Neuroepithelial|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|42158997|Male|Neuroepithelial|2006|~|~|~
0-19|~|~|~|Malignant|~|42158997|Male|Neuroepithelial|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Neuroepithelial|2007|~|~|~
0-19|~|~|~|Malignant|~|42367071|Male|Neuroepithelial|2007|~|~|~
0-19|~|~|~|Benign/Borderline|~|42541971|Male|Neuroepithelial|2008|~|~|~
0-19|~|~|~|Malignant|~|42541971|Male|Neuroepithelial|2008|~|~|~
0-19|~|~|~|Benign/Borderline|~|42609915|Male|Neuroepithelial|2009|~|~|~
0-19|~|~|~|Malignant|~|42609915|Male|Neuroepithelial|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|42551068|Male|Neuroepithelial|2010|~|~|~
0-19|~|~|~|Malignant|~|42551068|Male|Neuroepithelial|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|209288659|Male|Neuroepithelial|2010-2014|~|~|~
0-19|0.0|0.0|0.0|Malignant|17|209288659|Male|Neuroepithelial|2010-2014|0.0|0.0|0.0
0-19|~|~|~|Benign/Borderline|~|42004894|Male|Neuroepithelial|2011|~|~|~
0-19|~|~|~|Malignant|~|42004894|Male|Neuroepithelial|2011|~|~|~
0-19|~|~|~|Benign/Borderline|~|42188304|Male|Neuroepithelial|2012|~|~|~
0-19|~|~|~|Malignant|~|42188304|Male|Neuroepithelial|2012|~|~|~
0-19|~|~|~|Benign/Borderline|~|42054058|Male|Neuroepithelial|2013|~|~|~
0-19|~|~|~|Malignant|~|42054058|Male|Neuroepithelial|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|41979659|Male|Neuroepithelial|2014|~|~|~
0-19|~|~|~|Malignant|~|41979659|Male|Neuroepithelial|2014|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|148|41889233|Male|Neuronal/glial, neuronal|2004|0.3|0.4|0.4
0-19|0.0|0.1|0.1|Malignant|29|41889233|Male|Neuronal/glial, neuronal|2004|0.0|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|159|42006384|Male|Neuronal/glial, neuronal|2005|0.3|0.4|0.4
0-19|0.0|0.1|0.1|Malignant|30|42006384|Male|Neuronal/glial, neuronal|2005|0.0|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|157|42158997|Male|Neuronal/glial, neuronal|2006|0.3|0.4|0.4
0-19|0.0|0.1|0.1|Malignant|28|42158997|Male|Neuronal/glial, neuronal|2006|0.0|0.1|0.1
0-19|0.3|0.5|0.4|Benign/Borderline|172|42367071|Male|Neuronal/glial, neuronal|2007|0.3|0.5|0.4
0-19|0.0|0.1|0.1|Malignant|30|42367071|Male|Neuronal/glial, neuronal|2007|0.0|0.1|0.1
0-19|0.4|0.5|0.4|Benign/Borderline|175|42541971|Male|Neuronal/glial, neuronal|2008|0.4|0.5|0.4
0-19|0.0|0.1|0.1|Malignant|29|42541971|Male|Neuronal/glial, neuronal|2008|0.0|0.1|0.1
0-19|0.3|0.4|0.4|Benign/Borderline|159|42609915|Male|Neuronal/glial, neuronal|2009|0.3|0.4|0.4
0-19|0.0|0.1|0.0|Malignant|18|42609915|Male|Neuronal/glial, neuronal|2009|0.0|0.1|0.0
0-19|0.3|0.5|0.4|Benign/Borderline|172|42551068|Male|Neuronal/glial, neuronal|2010|0.3|0.5|0.4
0-19|~|~|~|Malignant|~|42551068|Male|Neuronal/glial, neuronal|2010|~|~|~
0-19|0.4|0.5|0.4|Benign/Borderline|904|209288659|Male|Neuronal/glial, neuronal|2010-2014|0.4|0.5|0.4
0-19|0.0|0.1|0.0|Malignant|98|209288659|Male|Neuronal/glial, neuronal|2010-2014|0.0|0.1|0.0
0-19|0.4|0.5|0.4|Benign/Borderline|183|42004894|Male|Neuronal/glial, neuronal|2011|0.4|0.5|0.4
0-19|0.0|0.1|0.0|Malignant|.|42004894|Male|Neuronal/glial, neuronal|2011|0.0|0.1|0.0
0-19|0.4|0.5|0.5|Benign/Borderline|202|42188304|Male|Neuronal/glial, neuronal|2012|0.4|0.5|0.5
0-19|0.0|0.1|0.0|Malignant|18|42188304|Male|Neuronal/glial, neuronal|2012|0.0|0.1|0.0
0-19|0.4|0.5|0.4|Benign/Borderline|183|42054058|Male|Neuronal/glial, neuronal|2013|0.4|0.5|0.4
0-19|0.0|0.1|0.0|Malignant|21|42054058|Male|Neuronal/glial, neuronal|2013|0.0|0.1|0.0
0-19|0.3|0.5|0.4|Benign/Borderline|165|41979659|Male|Neuronal/glial, neuronal|2014|0.3|0.5|0.4
0-19|0.0|0.1|0.1|Malignant|26|41979659|Male|Neuronal/glial, neuronal|2014|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Oligodendroglioma|2004|~|~|~
0-19|0.1|0.1|0.1|Malignant|38|41889233|Male|Oligodendroglioma|2004|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42006384|Male|Oligodendroglioma|2005|~|~|~
0-19|0.0|0.1|0.1|Malignant|29|42006384|Male|Oligodendroglioma|2005|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42158997|Male|Oligodendroglioma|2006|~|~|~
0-19|0.0|0.1|0.1|Malignant|27|42158997|Male|Oligodendroglioma|2006|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Oligodendroglioma|2007|~|~|~
0-19|0.0|0.1|0.1|Malignant|23|42367071|Male|Oligodendroglioma|2007|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42541971|Male|Oligodendroglioma|2008|~|~|~
0-19|0.1|0.1|0.1|Malignant|32|42541971|Male|Oligodendroglioma|2008|0.1|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42609915|Male|Oligodendroglioma|2009|~|~|~
0-19|0.0|0.1|0.1|Malignant|25|42609915|Male|Oligodendroglioma|2009|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42551068|Male|Oligodendroglioma|2010|~|~|~
0-19|0.0|0.1|0.0|Malignant|21|42551068|Male|Oligodendroglioma|2010|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|209288659|Male|Oligodendroglioma|2010-2014|~|~|~
0-19|0.0|0.1|0.0|Malignant|100|209288659|Male|Oligodendroglioma|2010-2014|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42004894|Male|Oligodendroglioma|2011|~|~|~
0-19|0.0|0.1|0.0|Malignant|17|42004894|Male|Oligodendroglioma|2011|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42188304|Male|Oligodendroglioma|2012|~|~|~
0-19|0.0|0.1|0.1|Malignant|25|42188304|Male|Oligodendroglioma|2012|0.0|0.1|0.1
0-19|~|~|~|Benign/Borderline|~|42054058|Male|Oligodendroglioma|2013|~|~|~
0-19|0.0|0.1|0.0|Malignant|.|42054058|Male|Oligodendroglioma|2013|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|41979659|Male|Oligodendroglioma|2014|~|~|~
0-19|0.0|0.1|0.0|Malignant|18|41979659|Male|Oligodendroglioma|2014|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Other mesenchymal|2004|~|~|~
0-19|~|~|~|Malignant|~|41889233|Male|Other mesenchymal|2004|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|22|42006384|Male|Other mesenchymal|2005|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|42006384|Male|Other mesenchymal|2005|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|17|42158997|Male|Other mesenchymal|2006|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|42158997|Male|Other mesenchymal|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Other mesenchymal|2007|~|~|~
0-19|~|~|~|Malignant|~|42367071|Male|Other mesenchymal|2007|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|19|42541971|Male|Other mesenchymal|2008|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|42541971|Male|Other mesenchymal|2008|~|~|~
0-19|0.0|0.1|0.0|Benign/Borderline|20|42609915|Male|Other mesenchymal|2009|0.0|0.1|0.0
0-19|~|~|~|Malignant|~|42609915|Male|Other mesenchymal|2009|~|~|~
0-19|0.0|0.1|0.1|Benign/Borderline|25|42551068|Male|Other mesenchymal|2010|0.0|0.1|0.1
0-19|~|~|~|Malignant|~|42551068|Male|Other mesenchymal|2010|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|163|209288659|Male|Other mesenchymal|2010-2014|0.1|0.1|0.1
0-19|0.0|0.0|0.0|Malignant|37|209288659|Male|Other mesenchymal|2010-2014|0.0|0.0|0.0
0-19|0.1|0.1|0.1|Benign/Borderline|33|42004894|Male|Other mesenchymal|2011|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|42004894|Male|Other mesenchymal|2011|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|41|42188304|Male|Other mesenchymal|2012|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|42188304|Male|Other mesenchymal|2012|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|33|42054058|Male|Other mesenchymal|2013|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|42054058|Male|Other mesenchymal|2013|~|~|~
0-19|0.1|0.1|0.1|Benign/Borderline|31|41979659|Male|Other mesenchymal|2014|0.1|0.1|0.1
0-19|~|~|~|Malignant|~|41979659|Male|Other mesenchymal|2014|~|~|~
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Pilocytic astrocytoma|2004|~|~|~
0-19|0.8|1.0|0.9|Malignant|369|41889233|Male|Pilocytic astrocytoma|2004|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|42006384|Male|Pilocytic astrocytoma|2005|~|~|~
0-19|0.7|0.9|0.8|Malignant|347|42006384|Male|Pilocytic astrocytoma|2005|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|42158997|Male|Pilocytic astrocytoma|2006|~|~|~
0-19|0.8|0.9|0.9|Malignant|357|42158997|Male|Pilocytic astrocytoma|2006|0.8|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Pilocytic astrocytoma|2007|~|~|~
0-19|0.7|0.9|0.8|Malignant|347|42367071|Male|Pilocytic astrocytoma|2007|0.7|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|42541971|Male|Pilocytic astrocytoma|2008|~|~|~
0-19|0.8|1.0|0.9|Malignant|387|42541971|Male|Pilocytic astrocytoma|2008|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|42609915|Male|Pilocytic astrocytoma|2009|~|~|~
0-19|0.8|0.9|0.9|Malignant|360|42609915|Male|Pilocytic astrocytoma|2009|0.8|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|42551068|Male|Pilocytic astrocytoma|2010|~|~|~
0-19|0.8|1.0|0.9|Malignant|372|42551068|Male|Pilocytic astrocytoma|2010|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|209288659|Male|Pilocytic astrocytoma|2010-2014|~|~|~
0-19|0.9|1.0|0.9|Malignant|1929|209288659|Male|Pilocytic astrocytoma|2010-2014|0.9|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|42004894|Male|Pilocytic astrocytoma|2011|~|~|~
0-19|0.8|1.0|0.9|Malignant|383|42004894|Male|Pilocytic astrocytoma|2011|0.8|1.0|0.9
0-19|~|~|~|Benign/Borderline|~|42188304|Male|Pilocytic astrocytoma|2012|~|~|~
0-19|0.9|1.1|1.0|Malignant|412|42188304|Male|Pilocytic astrocytoma|2012|0.9|1.1|1.0
0-19|~|~|~|Benign/Borderline|~|42054058|Male|Pilocytic astrocytoma|2013|~|~|~
0-19|0.9|1.1|1.0|Malignant|417|42054058|Male|Pilocytic astrocytoma|2013|0.9|1.1|1.0
0-19|~|~|~|Benign/Borderline|~|41979659|Male|Pilocytic astrocytoma|2014|~|~|~
0-19|0.8|0.9|0.8|Malignant|354|41979659|Male|Pilocytic astrocytoma|2014|0.8|0.9|0.8
0-19|~|~|~|Benign/Borderline|~|41889233|Male|Pineal parenchymal|2004|~|~|~
0-19|0.0|0.1|0.0|Malignant|.|41889233|Male|Pineal parenchymal|2004|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42006384|Male|Pineal parenchymal|2005|~|~|~
0-19|~|~|~|Malignant|~|42006384|Male|Pineal parenchymal|2005|~|~|~
0-19|~|~|~|Benign/Borderline|~|42158997|Male|Pineal parenchymal|2006|~|~|~
0-19|~|~|~|Malignant|~|42158997|Male|Pineal parenchymal|2006|~|~|~
0-19|~|~|~|Benign/Borderline|~|42367071|Male|Pineal parenchymal|2007|~|~|~
0-19|0.0|0.1|0.0|Malignant|.|42367071|Male|Pineal parenchymal|2007|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42541971|Male|Pineal parenchymal|2008|~|~|~
0-19|0.0|0.1|0.0|Malignant|16|42541971|Male|Pineal parenchymal|2008|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42609915|Male|Pineal parenchymal|2009|~|~|~
0-19|~|~|~|Malignant|~|42609915|Male|Pineal parenchymal|2009|~|~|~
0-19|~|~|~|Benign/Borderline|~|42551068|Male|Pineal parenchymal|2010|~|~|~
0-19|~|~|~|Malignant|~|42551068|Male|Pineal parenchymal|2010|~|~|~
0-19|~|~|~|Benign/Borderline|~|209288659|Male|Pineal parenchymal|2010-2014|~|~|~
0-19|0.0|0.1|0.0|Malignant|89|209288659|Male|Pineal parenchymal|2010-2014|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42004894|Male|Pineal parenchymal|2011|~|~|~
0-19|0.0|0.1|0.0|Malignant|.|42004894|Male|Pineal parenchymal|2011|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42188304|Male|Pineal parenchymal|2012|~|~|~
0-19|0.0|0.1|0.0|Malignant|.|42188304|Male|Pineal parenchymal|2012|0.0|0.1|0.0
0-19|~|~|~|Benign/Borderline|~|42054058|Male|Pineal parenchymal|2013|~|~|~
0-19|~|~|~|Malignant|~|42054058|Male|Pineal parenchymal|2013|~|~|~
0-19|~|~|~|Benign/Borderline|~|41979659|Male|Pineal parenchymal|2014|~|~|~
0-19|0.0|0.1|0.1|Malignant|.|41979659|Male|Pineal parenchymal|2014|0.0|0.1|0.1
0-19|0.2|0.2|0.2|Benign/Borderline|85|41889233|Male|Pituitary|2004|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|41889233|Male|Pituitary|2004|~|~|~
0-19|0.2|0.3|0.3|Benign/Borderline|118|42006384|Male|Pituitary|2005|0.2|0.3|0.3
0-19|~|~|~|Malignant|~|42006384|Male|Pituitary|2005|~|~|~
0-19|0.2|0.3|0.2|Benign/Borderline|91|42158997|Male|Pituitary|2006|0.2|0.3|0.2
0-19|~|~|~|Malignant|~|42158997|Male|Pituitary|2006|~|~|~
0-19|0.2|0.3|0.3|Benign/Borderline|117|42367071|Male|Pituitary|2007|0.2|0.3|0.3
0-19|~|~|~|Malignant|~|42367071|Male|Pituitary|2007|~|~|~
0-19|0.2|0.3|0.3|Benign/Borderline|127|42541971|Male|Pituitary|2008|0.2|0.4|0.3
0-19|~|~|~|Malignant|~|42541971|Male|Pituitary|2008|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|153|42609915|Male|Pituitary|2009|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|42609915|Male|Pituitary|2009|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|134|42551068|Male|Pituitary|2010|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42551068|Male|Pituitary|2010|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|751|209288659|Male|Pituitary|2010-2014|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|209288659|Male|Pituitary|2010-2014|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|144|42004894|Male|Pituitary|2011|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42004894|Male|Pituitary|2011|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|163|42188304|Male|Pituitary|2012|0.3|0.5|0.4
0-19|~|~|~|Malignant|~|42188304|Male|Pituitary|2012|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|148|42054058|Male|Pituitary|2013|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|42054058|Male|Pituitary|2013|~|~|~
0-19|0.3|0.5|0.4|Benign/Borderline|166|41979659|Male|Pituitary|2014|0.3|0.5|0.4
0-19|~|~|~|Malignant|~|41979659|Male|Pituitary|2014|~|~|~
0-19|1.5|1.7|1.6|Benign/Borderline|673|41889233|Male|Total|2004|1.5|1.7|1.6
0-19|3.4|3.8|3.6|Malignant|1500|41889233|Male|Total|2004|3.4|3.8|3.6
0-19|1.7|2.0|1.8|Benign/Borderline|769|42006384|Male|Total|2005|1.7|2.0|1.8
0-19|3.2|3.6|3.4|Malignant|1420|42006384|Male|Total|2005|3.2|3.6|3.4
0-19|1.7|2.0|1.9|Benign/Borderline|792|42158997|Male|Total|2006|1.8|2.0|1.9
0-19|3.4|3.8|3.6|Malignant|1498|42158997|Male|Total|2006|3.4|3.7|3.6
0-19|1.8|2.1|1.9|Benign/Borderline|827|42367071|Male|Total|2007|1.8|2.1|2.0
0-19|3.4|3.8|3.6|Malignant|1514|42367071|Male|Total|2007|3.4|3.8|3.6
0-19|1.8|2.1|1.9|Benign/Borderline|829|42541971|Male|Total|2008|1.8|2.1|1.9
0-19|3.6|3.9|3.8|Malignant|1591|42541971|Male|Total|2008|3.6|3.9|3.7
0-19|2.0|2.3|2.1|Benign/Borderline|915|42609915|Male|Total|2009|2.0|2.3|2.1
0-19|3.5|3.8|3.6|Malignant|1544|42609915|Male|Total|2009|3.4|3.8|3.6
0-19|1.9|2.2|2.0|Benign/Borderline|868|42551068|Male|Total|2010|1.9|2.2|2.0
0-19|3.6|3.9|3.8|Malignant|1592|42551068|Male|Total|2010|3.6|3.9|3.7
0-19|2.1|2.2|2.2|Benign/Borderline|4518|209288659|Male|Total|2010-2014|2.1|2.2|2.2
0-19|3.6|3.8|3.7|Malignant|7716|209288659|Male|Total|2010-2014|3.6|3.8|3.7
0-19|2.0|2.3|2.1|Benign/Borderline|902|42004894|Male|Total|2011|2.0|2.3|2.1
0-19|3.5|3.9|3.7|Malignant|1551|42004894|Male|Total|2011|3.5|3.9|3.7
0-19|2.1|2.4|2.3|Benign/Borderline|954|42188304|Male|Total|2012|2.1|2.4|2.3
0-19|3.6|4.0|3.8|Malignant|1591|42188304|Male|Total|2012|3.6|4.0|3.8
0-19|2.0|2.3|2.1|Benign/Borderline|906|42054058|Male|Total|2013|2.0|2.3|2.2
0-19|3.5|3.9|3.7|Malignant|1546|42054058|Male|Total|2013|3.5|3.9|3.7
0-19|2.0|2.3|2.1|Benign/Borderline|903|41979659|Male|Total|2014|2.0|2.3|2.2
0-19|3.3|3.7|3.5|Malignant|1470|41979659|Male|Total|2014|3.3|3.7|3.5
0-19|0.2|0.4|0.3|Benign/Borderline|124|41889233|Male|Tumors of Cranial and Spinal Nerves|2004|0.2|0.4|0.3
0-19|~|~|~|Malignant|~|41889233|Male|Tumors of Cranial and Spinal Nerves|2004|~|~|~
0-19|0.2|0.3|0.3|Benign/Borderline|119|42006384|Male|Tumors of Cranial and Spinal Nerves|2005|0.2|0.3|0.3
0-19|~|~|~|Malignant|~|42006384|Male|Tumors of Cranial and Spinal Nerves|2005|~|~|~
0-19|0.3|0.5|0.4|Benign/Borderline|167|42158997|Male|Tumors of Cranial and Spinal Nerves|2006|0.3|0.5|0.4
0-19|~|~|~|Malignant|~|42158997|Male|Tumors of Cranial and Spinal Nerves|2006|~|~|~
0-19|0.3|0.4|0.4|Benign/Borderline|154|42367071|Male|Tumors of Cranial and Spinal Nerves|2007|0.3|0.4|0.4
0-19|~|~|~|Malignant|~|42367071|Male|Tumors of Cranial and Spinal Nerves|2007|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|141|42541971|Male|Tumors of Cranial and Spinal Nerves|2008|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42541971|Male|Tumors of Cranial and Spinal Nerves|2008|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|147|42609915|Male|Tumors of Cranial and Spinal Nerves|2009|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42609915|Male|Tumors of Cranial and Spinal Nerves|2009|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|133|42551068|Male|Tumors of Cranial and Spinal Nerves|2010|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42551068|Male|Tumors of Cranial and Spinal Nerves|2010|~|~|~
0-19|0.3|0.3|0.3|Benign/Borderline|670|209288659|Male|Tumors of Cranial and Spinal Nerves|2010-2014|0.3|0.3|0.3
0-19|~|~|~|Malignant|~|209288659|Male|Tumors of Cranial and Spinal Nerves|2010-2014|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|132|42004894|Male|Tumors of Cranial and Spinal Nerves|2011|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42004894|Male|Tumors of Cranial and Spinal Nerves|2011|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|145|42188304|Male|Tumors of Cranial and Spinal Nerves|2012|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42188304|Male|Tumors of Cranial and Spinal Nerves|2012|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|135|42054058|Male|Tumors of Cranial and Spinal Nerves|2013|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|42054058|Male|Tumors of Cranial and Spinal Nerves|2013|~|~|~
0-19|0.3|0.4|0.3|Benign/Borderline|127|41979659|Male|Tumors of Cranial and Spinal Nerves|2014|0.3|0.4|0.3
0-19|~|~|~|Malignant|~|41979659|Male|Tumors of Cranial and Spinal Nerves|2014|~|~|~
0-19|0.5|0.6|0.5|Benign/Borderline|229|41889233|Male|Tumors of Neuroepthelial Tissue|2004|0.5|0.6|0.5
0-19|3.1|3.4|3.3|Malignant|1358|41889233|Male|Tumors of Neuroepthelial Tissue|2004|3.1|3.4|3.2
0-19|0.5|0.7|0.6|Benign/Borderline|258|42006384|Male|Tumors of Neuroepthelial Tissue|2005|0.5|0.7|0.6
0-19|2.9|3.3|3.1|Malignant|1286|42006384|Male|Tumors of Neuroepthelial Tissue|2005|2.9|3.2|3.1
0-19|0.5|0.7|0.6|Benign/Borderline|259|42158997|Male|Tumors of Neuroepthelial Tissue|2006|0.5|0.7|0.6
0-19|3.0|3.4|3.2|Malignant|1349|42158997|Male|Tumors of Neuroepthelial Tissue|2006|3.0|3.4|3.2
0-19|0.5|0.7|0.6|Benign/Borderline|263|42367071|Male|Tumors of Neuroepthelial Tissue|2007|0.5|0.7|0.6
0-19|3.1|3.4|3.2|Malignant|1366|42367071|Male|Tumors of Neuroepthelial Tissue|2007|3.1|3.4|3.2
0-19|0.6|0.7|0.6|Benign/Borderline|275|42541971|Male|Tumors of Neuroepthelial Tissue|2008|0.6|0.7|0.6
0-19|3.2|3.6|3.4|Malignant|1428|42541971|Male|Tumors of Neuroepthelial Tissue|2008|3.2|3.5|3.4
0-19|0.6|0.7|0.6|Benign/Borderline|267|42609915|Male|Tumors of Neuroepthelial Tissue|2009|0.6|0.7|0.6
0-19|3.1|3.5|3.3|Malignant|1401|42609915|Male|Tumors of Neuroepthelial Tissue|2009|3.1|3.5|3.3
0-19|0.6|0.7|0.6|Benign/Borderline|275|42551068|Male|Tumors of Neuroepthelial Tissue|2010|0.6|0.7|0.6
0-19|3.2|3.6|3.4|Malignant|1437|42551068|Male|Tumors of Neuroepthelial Tissue|2010|3.2|3.6|3.4
0-19|0.6|0.7|0.7|Benign/Borderline|1418|209288659|Male|Tumors of Neuroepthelial Tissue|2010-2014|0.6|0.7|0.7
0-19|3.3|3.4|3.3|Malignant|6959|209288659|Male|Tumors of Neuroepthelial Tissue|2010-2014|3.2|3.4|3.3
0-19|0.6|0.8|0.7|Benign/Borderline|290|42004894|Male|Tumors of Neuroepthelial Tissue|2011|0.6|0.8|0.7
0-19|3.2|3.6|3.4|Malignant|1416|42004894|Male|Tumors of Neuroepthelial Tissue|2011|3.2|3.6|3.4
0-19|0.6|0.8|0.7|Benign/Borderline|306|42188304|Male|Tumors of Neuroepthelial Tissue|2012|0.6|0.8|0.7
0-19|3.2|3.6|3.4|Malignant|1424|42188304|Male|Tumors of Neuroepthelial Tissue|2012|3.2|3.6|3.4
0-19|0.6|0.8|0.7|Benign/Borderline|287|42054058|Male|Tumors of Neuroepthelial Tissue|2013|0.6|0.8|0.7
0-19|3.1|3.5|3.3|Malignant|1390|42054058|Male|Tumors of Neuroepthelial Tissue|2013|3.1|3.5|3.3
0-19|0.6|0.7|0.6|Benign/Borderline|262|41979659|Male|Tumors of Neuroepthelial Tissue|2014|0.6|0.7|0.6
0-19|3.0|3.3|3.2|Malignant|1322|41979659|Male|Tumors of Neuroepthelial Tissue|2014|3.0|3.3|3.1
